source ID,source name,source type,mapping type,target ID,target name,target type,mapping description
,File Metadata,datacomponent,detects,T1222.002,Linux and Mac File and Directory Permissions Modification,technique,Monitor and investigate attempts to modify ACLs and file/directory ownership. Consider enabling file/directory permission change auditing on folders containing key binary/configuration files.
,File Metadata,datacomponent,detects,T1553.005,Mark-of-the-Web Bypass,technique,"Monitor files (especially those downloaded from untrusted locations) for MOTW attributes. Also consider inspecting and scanning file formats commonly abused to bypass MOTW (ex: .arj, .gzip, .iso, .vhd)."
,File Metadata,datacomponent,detects,T1036,Masquerading,technique,"Collect file hashes; file names that do not match their expected hash are suspect. Perform file monitoring; files with known names but in unusual locations are suspect. Look for indications of common characters that may indicate an attempt to trick users into misidentifying the file type, such as a space as the last character of a file name or the right-to-left override characters""\u202E"", ""[U+202E]"", and ""%E2%80%AE”."
,File Metadata,datacomponent,detects,T1036.005,Match Legitimate Name or Location,technique,"Collect file hashes; file names that do not match their expected hash are suspect. Perform file monitoring; files with known names but in unusual locations are suspect. Likewise, files that are modified outside of an update or patch are suspect."
,File Metadata,datacomponent,detects,T1564.004,NTFS File Attributes,technique,"Monitor for contextual data about a file, which may include information such as name, the content (ex: signature, headers, or data/media), user/ower, permissions, may use NTFS file attributes to hide their malicious data in order to evade detection. Forensic techniques exist to identify information stored in NTFS EA. (Citation: Journey into IR ZeroAccess NTFS EA)"
,File Metadata,datacomponent,detects,T1027,Obfuscated Files or Information,technique,"Monitor for contextual data about a file, which may include information such as name, the content (ex: signature, headers, or data/media), user/ower, permissions, etc.

File-based signatures may be capable of detecting code obfuscation depending on the methods used.(Citation: Huntress API Hash)(Citation: BlackHat API Packers)(Citation: MITRECND FindAPIHash)"
,File Metadata,datacomponent,detects,T1055.013,Process Doppelgänging,technique,"Scan file objects reported during the PsSetCreateProcessNotifyRoutine, (Citation: Microsoft PsSetCreateProcessNotifyRoutine routine) which triggers a callback whenever a process is created or deleted, specifically looking for file objects with enabled write access. (Citation: BlackHat Process Doppelgänging Dec 2017) Also consider comparing file objects loaded in memory to the corresponding file on disk. (Citation: hasherezade Process Doppelgänging Dec 2017)"
,File Metadata,datacomponent,detects,T1055,Process Injection,technique,"Monitor for contextual data about a file, which may include information such as name, the content (ex: signature, headers, or data/media), user/ower, permissions, etc."
,File Metadata,datacomponent,detects,T1036.003,Rename System Utilities,technique,"Collecting and comparing disk and resource filenames for binaries by looking to see if the InternalName, OriginalFilename, and/or ProductName match what is expected could provide useful leads, but may not always be indicative of malicious activity."
,File Metadata,datacomponent,detects,T1564.009,Resource Forking,technique,Identify files with the <code>com.apple.ResourceFork</code> extended attribute and large data amounts stored in resource forks.
,File Metadata,datacomponent,detects,T1036.002,Right-to-Left Override,technique,"Monitor for common formats of RTLO characters within filenames such as \u202E, [U+202E], and %E2%80%AE. Defenders should also check their analysis tools to ensure they do not interpret the RTLO character and instead print the true name of the file containing it."
,File Metadata,datacomponent,detects,T1218.011,Rundll32,technique,"Analyze contextual data about executed DLL files, which may include information such as name, the content (ex: signature, headers, or data/media), age, user/ower, permissions, etc."
,File Metadata,datacomponent,detects,T1565.003,Runtime Data Manipulation,technique,"Monitor for contextual data about a file, which may include information such as name, the content (ex: signature, headers, or data/media), user/ower, permissions, etc that would aid in the manipulation of data to hide activity"
,File Metadata,datacomponent,detects,T1548.001,Setuid and Setgid,technique,Monitor the file system for files that have the setuid or setgid bits set.
,File Metadata,datacomponent,detects,T1027.002,Software Packing,technique,"Use file scanning to look for known software packers or artifacts of packing techniques. Packing is not a definitive indicator of malicious activity, because legitimate software may use packing techniques to reduce binary size or to protect proprietary code."
,File Metadata,datacomponent,detects,T1036.006,Space after Filename,technique,"Monitor for spaces at the end of file names, that can easily be checked with file monitoring. From the user's perspective though, this is very hard to notice from within the Finder.app or on the command-line in Terminal.app. Processes executed from binaries containing non-standard extensions in the filename are suspicious."
,File Metadata,datacomponent,detects,T1027.003,Steganography,technique,Detection of steganography is difficult unless artifacts are left behind by the obfuscation process that are detectable with a known signature. Look for strings or other signatures left in system artifacts related to decoding steganography.
,File Metadata,datacomponent,detects,T1027.008,Stripped Payloads,technique,"Detecting the presence of stripped payloads may be difficult and unwarranted in real-time, though analyzing contextual data about files (such as content and character entropy) may highlight attempts at obfuscation."
,File Metadata,datacomponent,detects,T1553,Subvert Trust Controls,technique,Collect and analyze signing certificate metadata on software that executes within the environment to look for unusual certificate characteristics and outliers.
,File Metadata,datacomponent,detects,T1195,Supply Chain Compromise,technique,Use verification of distributed binaries through hash checking or other integrity checking mechanisms. Scan downloads for malicious signatures and attempt to test software and updates prior to deployment while taking note of potential suspicious activity.
,File Metadata,datacomponent,detects,T1070.006,Timestomp,technique,Monitor for file modifications that collects information on file handle opens and can compare timestamp values
,File Metadata,datacomponent,detects,T1564.007,VBA Stomping,technique,"If the document is opened with a Graphical User Interface (GUI) the malicious p-code is decompiled and may be viewed. However, if the <code>PROJECT</code> stream, which specifies the project properties, is modified in a specific way the decompiled VBA code will not be displayed. For example, adding a module name that is undefined to the <code>PROJECT</code> stream will inhibit attempts of reading the VBA source code through the GUI.(Citation: FireEye VBA stomp Feb 2020)"
,File Metadata,datacomponent,detects,T1222.001,Windows File and Directory Permissions Modification,technique,"Consider enabling file/directory permission change auditing on folders containing key binary/configuration files. For example, Windows Security Log events (Event ID 4670) are created when DACLs are modified."
,File Modification,datacomponent,detects,T1548,Abuse Elevation Control Mechanism,technique,"On Linux, auditd can alert every time a user's actual ID and effective ID are different (this is what happens when you sudo). This technique is abusing normal functionality in macOS and Linux systems, but sudo has the ability to log all input and output based on the <code>LOG_INPUT</code> and <code>LOG_OUTPUT</code> directives in the <code>/etc/sudoers</code> file. Consider monitoring for <code>/usr/libexec/security_authtrampoline</code> executions which may indicate that AuthorizationExecuteWithPrivileges is being executed. MacOS system logs may also indicate when AuthorizationExecuteWithPrivileges is being called."
,File Modification,datacomponent,detects,T1546.008,Accessibility Features,technique,"Monitor for changes made to files that may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features. Changes to accessibility utility binaries or binary paths that do not correlate with known software, patch cycles, etc., are suspicious."
,File Modification,datacomponent,detects,T1098,Account Manipulation,technique,"Monitor for changes made to files related to account settings, such as `/etc/ssh/sshd_config` and the authorized_keys file for each user on a system."
,File Modification,datacomponent,detects,T1137.006,Add-ins,technique,Monitor for changes made to files that may abuse Microsoft Office add-ins to obtain persistence on a compromised system.
,File Modification,datacomponent,detects,T1546.011,Application Shimming,technique,Monitor for changes made to files that may establish persistence and/or elevate privileges by executing malicious content triggered by application shims.
,File Modification,datacomponent,detects,T1053.002,At,technique,"On Windows, monitor Windows Task Scheduler stores in `%systemroot%\System32\Tasks` for change entries related to scheduled tasks, especially those that do not correlate with known software, patch cycles, etc. On Linux and macOS, all [at](https://attack.mitre.org/software/S0110) jobs are stored in <code>/var/spool/cron/atjobs/</code>.(Citation: rowland linux at 2019)"
,File Modification,datacomponent,detects,T1547,Boot or Logon Autostart Execution,technique,Monitor for changes made to files that may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems.
,File Modification,datacomponent,detects,T1037,Boot or Logon Initialization Scripts,technique,Monitor for changes made to files that are modified by unusual accounts outside of normal administration duties.
,File Modification,datacomponent,detects,T1070.003,Clear Command History,technique,"Monitor for changes made to command history files, such as ConsoleHost_history.txt, ~/.zsh_history, or ~/.bash_history, for unexpected modifications to contents, access permissions, and attributes."
,File Modification,datacomponent,detects,T1070.002,Clear Linux or Mac System Logs,technique,"Monitor for changes made to system log files, typically stored in  /var/log or /Library/Logs, for unexpected modifications to access permissions and attributes "
,File Modification,datacomponent,detects,T1070.008,Clear Mailbox Data,technique,"Monitor for changes made to generated artifacts on a host system, including logs or captured files such as quarantined emails. 

On Windows 10, mail application data is stored in <code>C:\Users\Username\AppData\Local\Comms\Unistore\data</code>. On Linux, mail data is stored in <code>/var/spool/mail</code> or <code>/var/mail</code>. On macOS, mail data is stored in <code>~/Library/Mail</code>."
,File Modification,datacomponent,detects,T1070.007,Clear Network Connection History and Configurations,technique,"Monitor changes to files that may be indicators of deleting or altering malicious network configuration settings as well as generated artifacts on a host system that highlight network connection history, such as <code>Default.rdp</code> or <code>/var/log/</code>. "
,File Modification,datacomponent,detects,T1070.009,Clear Persistence,technique,Monitor for changes made to a file may delete or alter generated artifacts associated with persistence on a host system.
,File Modification,datacomponent,detects,T1554,Compromise Client Software Binary,technique,Monitor changes to client software that do not correlate with known software or patch cycles.
,File Modification,datacomponent,detects,T1543,Create or Modify System Process,technique,Monitor for changes to files associated with system-level processes.
,File Modification,datacomponent,detects,T1053.003,Cron,technique,Monitor for changes made to files for unexpected modifications to access permissions and attributes 
,File Modification,datacomponent,detects,T1574.001,DLL Search Order Hijacking,technique,"Monitor for changed made to .manifest/.local redirection files, or file systems for moving, renaming, replacing, or modifying DLLs. Changes in the set of DLLs that are loaded by a process (compared with past behavior) that do not correlate with known software, patches, etc., are suspicious."
,File Modification,datacomponent,detects,T1574.002,DLL Side-Loading,technique,Monitor for changes made to files for unexpected modifications to access permissions and attributes  
,File Modification,datacomponent,detects,T1485,Data Destruction,technique,Monitor for changes made to a large quantity of files for unexpected modifications in user directories and under C:\Windows\System32\.
,File Modification,datacomponent,detects,T1486,Data Encrypted for Impact,technique,Monitor for changes made to files in user directories.
,File Modification,datacomponent,detects,T1565,Data Manipulation,technique,Monitor for unexpected files with manipulated data in order to manipulate external outcomes or hide activity
,File Modification,datacomponent,detects,T1491,Defacement,technique,Monitor for changes made to files for unexpected modifications to internal and external websites for unplanned content changes.
,File Modification,datacomponent,detects,T1140,Deobfuscate/Decode Files or Information,technique,Monitor for changes made to files for unexpected modifications that attempt to hide artifacts.
,File Modification,datacomponent,detects,T1600.002,Disable Crypto Hardware,technique,"There is no documented method for defenders to directly identify behaviors that reduce encryption key space. Detection efforts may be focused on closely related adversary behaviors, such as Modify System Image and Network Device CLI. Some detection methods require vendor support to aid in investigation."
,File Modification,datacomponent,detects,T1556.001,Domain Controller Authentication,technique,Monitor for changes to functions exported from authentication-related system DLLs (such as cryptdll.dll and samsrv.dll).(Citation: Dell Skeleton)
,File Modification,datacomponent,detects,T1601.002,Downgrade System Image,technique,"Monitor for changes made to the operating system of a network device because image downgrade may be used in conjunction with  [Patch System Image](https://attack.mitre.org/techniques/T1601/001), it may be appropriate to also verify the integrity of the vendor provided operating system image file."
,File Modification,datacomponent,detects,T1574.004,Dylib Hijacking,technique,"Monitor file systems for moving, renaming, replacing, or modifying dylibs. Changes in the set of dylibs that are loaded by a process (compared to past behavior) that do not correlate with known software, patches, etc., are suspicious. Check the system for multiple dylibs with the same name and monitor which versions have historically been loaded into a process."
,File Modification,datacomponent,detects,T1574.006,Dynamic Linker Hijacking,technique,Monitor for changes to environment variables and files associated with loading shared libraries such as LD_PRELOAD on Linux and DYLD_INSERT_LIBRARIES on macOS.
,File Modification,datacomponent,detects,T1564.008,Email Hiding Rules,technique,"On MacOS systems, monitor for modifications to the <code>RulesActiveState.plist</code>, <code>SyncedRules.plist</code>, <code>UnsyncedRules.plist</code>, and <code>MessageRules.plist</code> files.(Citation: MacOS Email Rules)"
,File Modification,datacomponent,detects,T1546.014,Emond,technique,Monitor emond rules creation by checking for files modified in <code>/etc/emond.d/rules/</code> and <code>/private/var/db/emondClients</code>.
,File Modification,datacomponent,detects,T1546,Event Triggered Execution,technique,Monitor for changes made to files that may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events.
,File Modification,datacomponent,detects,T1574.005,Executable Installer File Permissions Weakness,technique,Monitor for changes to binaries and service executables that may normally occur during software updates. 
,File Modification,datacomponent,detects,T1491.002,External Defacement,technique,Monitor external websites for unplanned content changes.
,File Modification,datacomponent,detects,T1187,Forced Authentication,technique,"Monitor for changes made to the .LNK, .SCF, or any other files on systems and within virtual environments that contain resources that point to external network resources "
,File Modification,datacomponent,detects,T1553.001,Gatekeeper Bypass,technique,The removal of the <code>com.apple.quarantine</code> flag by a user instead of the operating system is a suspicious action and should be examined further. Also monitor software update frameworks that may strip this flag when performing updates.
,File Modification,datacomponent,detects,T1564.005,Hidden File System,technique,"Detecting the use of a hidden file system may be exceptionally difficult depending on the implementation. Emphasis may be placed on detecting related aspects of the adversary lifecycle, such as how malware interacts with the hidden file system or how a hidden file system is loaded."
,File Modification,datacomponent,detects,T1564.002,Hidden Users,technique,Monitor for changes made to files that may use hidden users to mask the presence of user accounts they create or modify. Monitor for changes made to the <code>/Library/Preferences/com.apple.loginwindow</code> plist file for unexpected modifications to the <code> Hide500Users</code> key value on macOS.(Citation: Cybereason OSX Pirrit)
,File Modification,datacomponent,detects,T1564.003,Hidden Window,technique,"Monitor for changes made to files that may use hidden windows to conceal malicious activity from the plain sight of users. In MacOS, plist files are ASCII text files with a specific format, so they're relatively easy to parse. File monitoring can check for the <code>apple.awt.UIElement</code> or any other suspicious plist tag in plist files and flag them."
,File Modification,datacomponent,detects,T1564,Hide Artifacts,technique,Monitor for changes made to files that may attempt to hide artifacts associated with their behaviors to evade detection.
,File Modification,datacomponent,detects,T1574,Hijack Execution Flow,technique,"Monitor file systems for moving, renaming, replacing, or modifying DLLs. Changes in the set of DLLs that are loaded by a process (compared with past behavior) that do not correlate with known software, patches, etc., are suspicious. Modifications to or creation of .manifest and .local redirection files that do not correlate with software updates are suspicious."
,File Modification,datacomponent,detects,T1556.007,Hybrid Identity,technique,"Monitor for suspicious modification of files associated with hybrid identity authentication processes, such as configuration files. Monitor for access to certificates and cryptographic keys material."
,File Modification,datacomponent,detects,T1505.004,IIS Components,technique,Monitor for modification of files (especially DLLs on webservers) that could be abused as malicious ISAPI extensions/filters or IIS modules. Changes to <code>%windir%\system32\inetsrv\config\applicationhost.config</code> could indicate an IIS module installation.(Citation: Microsoft IIS Modules Overview 2007)(Citation: ESET IIS Malware 2021)
,File Modification,datacomponent,detects,T1070,Indicator Removal,technique,"Monitor for changes made to a file may delete or alter generated artifacts on a host system, including logs or captured files such as quarantined malware."
,File Modification,datacomponent,detects,T1056,Input Capture,technique,Monitor for changes made to files for unexpected modifications to access permissions and attributes  
,File Modification,datacomponent,detects,T1491.001,Internal Defacement,technique,Monitor internal and websites for unplanned content changes.
,File Modification,datacomponent,detects,T1547.006,Kernel Modules and Extensions,technique,Monitor for changes made to files that may modify the kernel to automatically execute programs on system boot.
,File Modification,datacomponent,detects,T1546.006,LC_LOAD_DYLIB Addition,technique,Monitor file systems for changes to application binaries and invalid checksums/signatures.
,File Modification,datacomponent,detects,T1547.008,LSASS Driver,technique,Monitor for changes made to files that may modify or add LSASS drivers to obtain persistence on compromised systems.
,File Modification,datacomponent,detects,T1543.001,Launch Agent,technique,Launch Agents also require files on disk for persistence which can also be monitored via other file monitoring applications.
,File Modification,datacomponent,detects,T1543.004,Launch Daemon,technique,Monitor files for changes that may create or modify Launch Daemons to execute malicious payloads as part of persistence.
,File Modification,datacomponent,detects,T1569.001,Launchctl,technique,"Every Launch Agent and Launch Daemon must have a corresponding plist file on disk which can be monitored. Plist files are located in the root, system, and users <code>/Library/LaunchAgents</code> or <code>/Library/LaunchDaemons</code> folders. [Launch Agent](https://attack.mitre.org/techniques/T1543/001) or [Launch Daemon](https://attack.mitre.org/techniques/T1543/004) with executable paths pointing to /tmp and /Shared folders locations are potentially suspicious."
,File Modification,datacomponent,detects,T1037.002,Login Hook,technique,"Monitor for changes to login hook files (<code>/Library/Preferences/com.apple.loginwindow.plist</code>), especially by unusual accounts outside of normal administration duties."
,File Modification,datacomponent,detects,T1547.015,Login Items,technique,All login items created via shared file lists are viewable by using the System Preferences GUI or in the <code>~/Library/Application Support/com.apple.backgroundtaskmanagementagent/backgrounditems.btm</code> file.(Citation: Open Login Items Apple)(Citation: Startup Items Eclectic)(Citation: objsee block blocking login items)(Citation: sentinelone macos persist Jun 2019) These locations should be monitored and audited.
,File Modification,datacomponent,detects,T1036,Masquerading,technique,Monitor for changes made to files outside of an update or patch that may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools.
,File Modification,datacomponent,detects,T1556,Modify Authentication Process,technique,"Monitor for suspicious modification of files associated with authentication processes, such as configuration files and module paths (e.g. `/etc/pam.d/`). Use system-integrity tools such as AIDE and monitoring tools such as auditd to monitor PAM files. Also monitor for access to certificates and cryptographic keys material."
,File Modification,datacomponent,detects,T1601,Modify System Image,technique,"Most embedded network devices provide a command to print the version of the currently running operating system. Use this command to query the operating system for its version number and compare it to what is expected for the device in question. Because this method may be used in conjunction with  [Patch System Image](https://attack.mitre.org/techniques/T1601/001), it may be appropriate to also verify the integrity of the vendor provided operating system image file.

Compare the checksum of the operating system file with the checksum of a known good copy from a trusted source. Some embedded network device platforms may have the capability to calculate the checksum of the file, while others may not. Even for those platforms that have the capability, it is recommended to download a copy of the file to a trusted computer to calculate the checksum with software that is not compromised. (Citation: Cisco IOS Software Integrity Assurance - Image File Verification)

Many vendors of embedded network devices can provide advanced debugging support that will allow them to work with device owners to validate the integrity of the operating system running in memory. If a compromise of the operating system is suspected, contact the vendor technical support and seek such services for a more thorough inspection of the current running system.  (Citation: Cisco IOS Software Integrity Assurance - Run-Time Memory Verification)"
,File Modification,datacomponent,detects,T1564.004,NTFS File Attributes,technique,"There are many ways to create and interact with ADSs using Windows utilities. Monitor for operations (execution, copies, etc.) with file names that contain colons. This syntax (ex: <code>file.ext:ads[.ext]</code>) is commonly associated with ADSs. (Citation: Microsoft ADS Mar 2014) (Citation: Oddvar Moe ADS1 Jan 2018) (Citation: Oddvar Moe ADS2 Apr 2018) For a more exhaustive list of utilities that can be used to execute and create ADSs, see https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f."
,File Modification,datacomponent,detects,T1556.004,Network Device Authentication,technique,"Monitor for changes made to the checksum of the operating system file and verifying the image of the operating system in memory.(Citation: Cisco IOS Software Integrity Assurance - Image File Verification)(Citation: Cisco IOS Software Integrity Assurance - Run-Time Memory Verification) Detection of this behavior may be difficult, detection efforts may be focused on closely related adversary behaviors, such as Modify System Image."
,File Modification,datacomponent,detects,T1037.003,Network Logon Script,technique,Monitor for changes made to files for unexpected modifications to unusual accounts outside of normal administration duties  
,File Modification,datacomponent,detects,T1137,Office Application Startup,technique,Monitor for changes made to files that may leverage Microsoft Office-based applications for persistence between startups.
,File Modification,datacomponent,detects,T1137.001,Office Template Macros,technique,"Monitor for changes made to files that may abuse Microsoft Office templates to obtain persistence on a compromised system. Modification to base templates, like Normal.dotm, should also be investigated since the base templates should likely not contain VBA macros. Changes to the Office macro security settings should also be investigated"
,File Modification,datacomponent,detects,T1137.002,Office Test,technique,"Monitor for changes made to files that may abuse the Microsoft Office ""Office Test"" Registry key to obtain persistence on a compromised system."
,File Modification,datacomponent,detects,T1601.001,Patch System Image,technique,"Compare the checksum of the operating system file with the checksum of a known good copy from a trusted source. Some embedded network device platforms may have the capability to calculate the checksum of the file, while others may not. Even for those platforms that have the capability, it is recommended to download a copy of the file to a trusted computer to calculate the checksum with software that is not compromised.https://tools.cisco.com/security/center/resources/integrity_assurance.html#7_x000D_
_x000D_
Many vendors of embedded network devices can provide advanced debugging support that will allow them to work with device owners to validate the integrity of the operating system running in memory. If a compromise of the operating system is suspected, contact the vendor technical support and seek such services for a more thorough inspection of the current running system. https://tools.cisco.com/security/center/resources/integrity_assurance.html#13"
,File Modification,datacomponent,detects,T1574.008,Path Interception by Search Order Hijacking,technique,"Monitor for programs metadata modifications such as deletion of the path to an executable since it makes programs vulnerable to this type of technique. Also, monitor modifications of files such as renaming programs using Windows system utilities names."
,File Modification,datacomponent,detects,T1574.009,Path Interception by Unquoted Path,technique,Monitor for changes made to files that may execute their own malicious payloads by hijacking vulnerable file path references.
,File Modification,datacomponent,detects,T1647,Plist File Modification,technique,"Monitor for plist file modification, especially if immediately followed by other suspicious events such as code execution from <code>\~/Library/Scripts</code> or <code>\~/Library/Preferences</code>. Also, monitor for significant changes to any path pointers in a modified plist."
,File Modification,datacomponent,detects,T1556.003,Pluggable Authentication Modules,technique,Monitor PAM configuration and module paths (ex: /etc/pam.d/) for changes. Use system-integrity tools such as AIDE and monitoring tools such as auditd to monitor PAM files.
,File Modification,datacomponent,detects,T1546.013,PowerShell Profile,technique,"Locations where <code>profile.ps1</code> can be stored should be monitored for modifications. (Citation: Malware Archaeology PowerShell Cheat Sheet) Example profile locations include:
* <code>$PsHome\Profile.ps1</code>
* <code>$PsHome\Microsoft.{HostProgram}_profile.ps1</code>
* <code>$Home\My Documents\PowerShell\Profile.ps1</code>
* <code>$Home\My Documents\PowerShell\Microsoft.{HostProgram}_profile.ps1</code>"
,File Modification,datacomponent,detects,T1055.009,Proc Memory,technique,Monitor for changes made to /proc files that may inject malicious code into processes via the /proc filesystem in order to evade process-based defenses as well as possibly elevate privileges. Users should not have permission to modify these in most cases. 
,File Modification,datacomponent,detects,T1055,Process Injection,technique,Monitor for changes made to files that may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges.
,File Modification,datacomponent,detects,T1037.004,RC Scripts,technique,Monitor for changes made to files for unexpected modifications to RC scripts in the /etc/ directory
,File Modification,datacomponent,detects,T1547.007,Re-opened Applications,technique,Monitoring the specific plist files associated with reopening applications can indicate when an application has registered itself to be reopened.
,File Modification,datacomponent,detects,T1600.001,Reduce Key Space,technique,"There is no documented method for defenders to directly identify behaviors that reduce encryption key space. Detection efforts may be focused on closely related adversary behaviors, such as Modify System Image and Network Device CLI. Some detection methods require vendor support to aid in investigation."
,File Modification,datacomponent,detects,T1547.001,Registry Run Keys / Startup Folder,technique,"Monitor the start folder for additions or changes. Tools such as Sysinternals Autoruns may also be used to detect system changes that could be attempts at persistence, including the startup folders. (Citation: TechNet Autoruns)"
,File Modification,datacomponent,detects,T1036.003,Rename System Utilities,technique,Monitor for changes made to files for unexpected modifications to file names that are mismatched between the file name on disk and that of the binary's PE metadata. This is a likely indicator that a binary was renamed after it was compiled.  
,File Modification,datacomponent,detects,T1014,Rootkit,technique,"Monitor for changes and the existence of unrecognized DLLs, drivers, devices, services, and to the MBR. (Citation: Wikipedia Rootkit)"
,File Modification,datacomponent,detects,T1565.003,Runtime Data Manipulation,technique,Monitor for unexpected files with manipulated data in order to manipulate external outcomes or hide activity
,File Modification,datacomponent,detects,T1553.003,SIP and Trust Provider Hijacking,technique,"Periodically baseline registered SIPs and trust providers (Registry entries and files on disk), specifically looking for new, modified, or non-Microsoft entries.(Citation: SpectorOps Subverting Trust Sept 2017) Also analyze Autoruns data for oddities and anomalies, specifically malicious files attempting persistent execution by hiding within auto-starting locations. Autoruns will hide entries signed by Microsoft or Windows by default, so ensure “Hide Microsoft Entries” and “Hide Windows Entries” are both deselected.(Citation: SpectorOps Subverting Trust Sept 2017)"
,File Modification,datacomponent,detects,T1098.004,SSH Authorized Keys,technique,Monitor for changes made to detect changes made to the authorized_keys file for each user on a system. Monitor for changes to and suspicious processes modifiying /etc/ssh/sshd_config.
,File Modification,datacomponent,detects,T1053.005,Scheduled Task,technique,"Monitor Windows Task Scheduler stores in %systemroot%\System32\Tasks for change entries related to scheduled tasks that do not correlate with known software, patch cycles, etc."
,File Modification,datacomponent,detects,T1053,Scheduled Task/Job,technique,Monitor for changes made to files that may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code.
,File Modification,datacomponent,detects,T1546.002,Screensaver,technique,Monitor for changes made to files that may establish persistence by executing malicious content triggered by user inactivity.
,File Modification,datacomponent,detects,T1505,Server Software Component,technique,Monitor for changes made to files that may abuse legitimate extensible development features of servers to establish persistent access to systems.
,File Modification,datacomponent,detects,T1489,Service Stop,technique,Monitor for changes made to files that may stop or disable services on a system to render those services unavailable to legitimate users.
,File Modification,datacomponent,detects,T1574.010,Services File Permissions Weakness,technique,Monitor for modification of binaries and service executables that do not occur during a regular software update or an update scheduled by the organization. Modification of files considers actions such as renaming and directory moving.
,File Modification,datacomponent,detects,T1548.001,Setuid and Setgid,technique,Monitor for changes made to files that may perform shell escapes or exploit vulnerabilities in an application with the setsuid or setgid bits to get code running in a different user’s context.
,File Modification,datacomponent,detects,T1547.009,Shortcut Modification,technique,"Since a shortcut's target path likely will not change, modifications to shortcut files that do not correlate with known software changes, patches, removal, etc., may be suspicious. Analysis should attempt to relate shortcut file change events to other potentially suspicious events based on known adversary behavior such as process launches of unknown executables that make network connections."
,File Modification,datacomponent,detects,T1037.005,Startup Items,technique,Monitor for changes made to files for unexpected modifications to /Library/StartupItem folder
,File Modification,datacomponent,detects,T1565.001,Stored Data Manipulation,technique,Monitor for unexpected files with manipulated data in order to manipulate external outcomes or hide activity
,File Modification,datacomponent,detects,T1553,Subvert Trust Controls,technique,"Periodically baseline registered SIPs and trust providers (Registry entries and files on disk), specifically looking for new, modified, or non-Microsoft entries.(Citation: SpectorOps Subverting Trust Sept 2017) Also analyze Autoruns data for oddities and anomalies, specifically malicious files attempting persistent execution by hiding within auto-starting locations. Autoruns will hide entries signed by Microsoft or Windows by default, so ensure “Hide Microsoft Entries” and “Hide Windows Entries” are both deselected.(Citation: SpectorOps Subverting Trust Sept 2017)

On macOS, the removal of the <code>com.apple.quarantine</code> flag by a user instead of the operating system is a suspicious action and should be examined further. Also monitor software update frameworks that may strip this flag when performing updates."
,File Modification,datacomponent,detects,T1548.003,Sudo and Sudo Caching,technique,"On Linux, auditd can alert every time a user's actual ID and effective ID are different (this is what happens when you sudo). This technique is abusing normal functionality in macOS and Linux systems, but sudo has the ability to log all input and output based on the <code>LOG_INPUT</code> and <code>LOG_OUTPUT</code> directives in the <code>/etc/sudoers</code> file."
,File Modification,datacomponent,detects,T1569,System Services,technique,Monitor for changes made to files that may abuse system services or daemons to execute commands or programs.
,File Modification,datacomponent,detects,T1543.002,Systemd Service,technique,"Systemd service unit files may be detected by auditing file creation and modification events within the <code>/etc/systemd/system</code>, <code>/usr/lib/systemd/system/</code>, and <code>/home/<username>/.config/systemd/user/</code> directories, as well as associated symbolic links"
,File Modification,datacomponent,detects,T1053.006,Systemd Timers,technique,"Monitor for changes made to systemd timer unit files for unexpected modification events within the /etc/systemd/system, /usr/lib/systemd/system/, and ~/.config/systemd/user/ directories, as well as associated symbolic links"
,File Modification,datacomponent,detects,T1080,Taint Shared Content,technique,Monitor for files that write or overwrite many files to a network shared directory may be suspicious.
,File Modification,datacomponent,detects,T1505.005,Terminal Services DLL,technique,"Monitor unexpected changes and/or interactions with <code>termsrv.dll</code>, which is typically stored in <code>%SystemRoot%\System32\</code>."
,File Modification,datacomponent,detects,T1070.006,Timestomp,technique,Monitor for unexpected modifications to file timestamps 
,File Modification,datacomponent,detects,T1546.005,Trap,technique,Monitor for changes made to files that may establish persistence by executing malicious content triggered by an interrupt signal.
,File Modification,datacomponent,detects,T1546.004,Unix Shell Configuration Modification,technique,"Monitor for changes to <code>/etc/profile</code> and <code>/etc/profile.d</code>, these files should only be modified by system administrators. MacOS users can leverage Endpoint Security Framework file events monitoring these specific files.(Citation: ESF_filemonitor)"
,File Modification,datacomponent,detects,T1600,Weaken Encryption,technique,File Modification
,File Modification,datacomponent,detects,T1056.003,Web Portal Capture,technique,Monitor for changes made to detect changes to files in the Web directory for organization login pages that do not match with authorized updates to the Web server's content.
,File Modification,datacomponent,detects,T1505.003,Web Shell,technique,Monitor for changes made to files that may backdoor web servers with web shells to establish persistent access to systems.
,File Modification,datacomponent,detects,T1547.013,XDG Autostart Entries,technique,"Malicious XDG autostart entries may be detected by auditing file modification events within the <code>/etc/xdg/autostart</code> and <code>~/.config/autostart</code> directories. Depending on individual configurations, defenders may need to query the environment variables <code>$XDG_CONFIG_HOME</code> or <code>$XDG_CONFIG_DIRS</code> to determine the paths of Autostart entries. Autostart entry files not associated with legitimate packages may be considered suspicious. Suspicious entries can also be identified by comparing entries to a trusted system baseline."
