ID,name,description,url,created,last modified,version,contributors,platforms,aliases,type,relationship citations
S0152,EvilGrab,[EvilGrab](https://attack.mitre.org/software/S0152) is a malware family with common reconnaissance capabilities. It has been deployed by [menuPass](https://attack.mitre.org/groups/G0045) via malicious Microsoft Office documents as part of spearphishing campaigns. (Citation: PWC Cloud Hopper Technical Annex April 2017),https://attack.mitre.org/software/S0152,14 December 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: PWC Cloud Hopper Technical Annex April 2017),,(Citation: PWC Cloud Hopper Technical Annex April 2017)"
S0401,Exaramel for Linux,[Exaramel for Linux](https://attack.mitre.org/software/S0401) is a backdoor written in the Go Programming Language and compiled as a 64-bit ELF binary. The Windows version is tracked separately under [Exaramel for Windows](https://attack.mitre.org/software/S0343).(Citation: ESET TeleBots Oct 2018),https://attack.mitre.org/software/S0401,26 August 2019,14 April 2021,1.2,,Linux,,malware,"(Citation: ANSSI Sandworm January 2021),(Citation: ESET TeleBots Oct 2018),,(Citation: ANSSI Sandworm January 2021),(Citation: ESET TeleBots Oct 2018)"
S0343,Exaramel for Windows,[Exaramel for Windows](https://attack.mitre.org/software/S0343) is a backdoor used for targeting Windows systems. The Linux version is tracked separately under [Exaramel for Linux](https://attack.mitre.org/software/S0401).(Citation: ESET TeleBots Oct 2018),https://attack.mitre.org/software/S0343,30 January 2019,17 June 2020,2.1,,Windows,,malware,"(Citation: ESET TeleBots Oct 2018),,(Citation: ESET TeleBots Oct 2018)"
S0361,Expand,[Expand](https://attack.mitre.org/software/S0361) is a Windows utility used to expand one or more compressed CAB files.(Citation: Microsoft Expand Utility) It has been used by [BBSRAT](https://attack.mitre.org/software/S0127) to decompress a CAB file into executable content.(Citation: Palo Alto Networks BBSRAT),https://attack.mitre.org/software/S0361,19 February 2019,20 March 2020,1.1,"Matthew Demaske, Adaptforward",Windows,,tool,",,(Citation: Microsoft Expand Utility),(Citation: LOLBAS Expand)"
S0569,Explosive,[Explosive](https://attack.mitre.org/software/S0569) is a custom-made remote access tool used by the group [Volatile Cedar](https://attack.mitre.org/groups/G0123). It was first identified in the wild in 2015.(Citation: CheckPoint Volatile Cedar March 2015)(Citation: ClearSky Lebanese Cedar Jan 2021)  ,https://attack.mitre.org/software/S0569,08 February 2021,27 April 2021,1.0,,Windows,,malware,"(Citation: ClearSky Lebanese Cedar Jan 2021),(Citation: CheckPoint Volatile Cedar March 2015),,(Citation: ClearSky Lebanese Cedar Jan 2021),(Citation: CheckPoint Volatile Cedar March 2015)"
S0181,FALLCHILL,"[FALLCHILL](https://attack.mitre.org/software/S0181) is a RAT that has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032) since at least 2016 to target the aerospace, telecommunications, and finance industries. It is usually dropped by other [Lazarus Group](https://attack.mitre.org/groups/G0032) malware or delivered when a victim unknowingly visits a compromised website. (Citation: US-CERT FALLCHILL Nov 2017)",https://attack.mitre.org/software/S0181,16 January 2018,23 April 2021,1.2,,Windows,,malware,"(Citation: US-CERT FALLCHILL Nov 2017),,(Citation: US-CERT FALLCHILL Nov 2017),(Citation: CISA AppleJeus Feb 2021)"
S0267,FELIXROOT,[FELIXROOT](https://attack.mitre.org/software/S0267) is a backdoor that has been used to target Ukrainian victims. (Citation: FireEye FELIXROOT July 2018),https://attack.mitre.org/software/S0267,17 October 2018,30 March 2020,2.1,,Windows,GreyEnergy mini,malware,",,(Citation: ESET GreyEnergy Oct 2018),(Citation: FireEye FELIXROOT July 2018)"
S0618,FIVEHANDS,"[FIVEHANDS](https://attack.mitre.org/software/S0618) is a customized version of [DEATHRANSOM](https://attack.mitre.org/software/S0616) ransomware written in C++. [FIVEHANDS](https://attack.mitre.org/software/S0618) has been used since at least 2021, including in Ransomware-as-a-Service (RaaS) campaigns, sometimes along with [SombRAT](https://attack.mitre.org/software/S0615).(Citation: FireEye FiveHands April 2021)(Citation: NCC Group Fivehands June 2021)",https://attack.mitre.org/software/S0618,04 June 2021,18 October 2021,1.0,,Windows,,malware,",,(Citation: NCC Group Fivehands June 2021),(Citation: CISA AR21-126A FIVEHANDS May 2021),(Citation: FireEye FiveHands April 2021)"
S0036,FLASHFLOOD,[FLASHFLOOD](https://attack.mitre.org/software/S0036) is malware developed by [APT30](https://attack.mitre.org/groups/G0013) that allows propagation and exfiltration of data over removable devices. [APT30](https://attack.mitre.org/groups/G0013) may use this capability to exfiltrate data across air-gaps. (Citation: FireEye APT30),https://attack.mitre.org/software/S0036,31 May 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: FireEye APT30),,(Citation: FireEye APT30)"
S0173,FLIPSIDE,[FLIPSIDE](https://attack.mitre.org/software/S0173) is a simple tool similar to Plink that is used by [FIN5](https://attack.mitre.org/groups/G0053) to maintain access to victims. (Citation: Mandiant FIN5 GrrCON Oct 2016),https://attack.mitre.org/software/S0173,16 January 2018,30 March 2020,1.1,,Windows,,malware,"(Citation: Mandiant FIN5 GrrCON Oct 2016),,(Citation: Mandiant FIN5 GrrCON Oct 2016)"
S0628,FYAnti,"[FYAnti](https://attack.mitre.org/software/S0628) is a loader that has been used by [menuPass](https://attack.mitre.org/groups/G0045) since at least 2020, including to deploy [QuasarRAT](https://attack.mitre.org/software/S0262).(Citation: Securelist APT10 March 2021)",https://attack.mitre.org/software/S0628,22 June 2021,11 October 2021,1.0,,Windows,DILLJUICE stage2,malware,"(Citation: Securelist APT10 March 2021),,(Citation: Securelist APT10 March 2021)"
S0076,FakeM,[FakeM](https://attack.mitre.org/software/S0076) is a shellcode-based Windows backdoor that has been used by [Scarlet Mimic](https://attack.mitre.org/groups/G0029). (Citation: Scarlet Mimic Jan 2016),https://attack.mitre.org/software/S0076,31 May 2017,27 March 2020,1.1,,Windows,,malware,"(Citation: Scarlet Mimic Jan 2016),,(Citation: Scarlet Mimic Jan 2016)"
S0512,FatDuke,[FatDuke](https://attack.mitre.org/software/S0512) is a backdoor used by [APT29](https://attack.mitre.org/groups/G0016) since at least 2016.(Citation: ESET Dukes October 2019),https://attack.mitre.org/software/S0512,24 September 2020,16 October 2021,1.1,,Windows,,malware,"(Citation: Secureworks IRON HEMLOCK Profile),(Citation: ESET Dukes October 2019),,(Citation: ESET Dukes October 2019)"
S0171,Felismus,[Felismus](https://attack.mitre.org/software/S0171) is a modular backdoor that has been used by [Sowbug](https://attack.mitre.org/groups/G0054). (Citation: Symantec Sowbug Nov 2017) (Citation: Forcepoint Felismus Mar 2017),https://attack.mitre.org/software/S0171,16 January 2018,30 March 2020,1.1,,Windows,,malware,"(Citation: Symantec Sowbug Nov 2017),,(Citation: Forcepoint Felismus Mar 2017)"
S0679,Ferocious,[Ferocious](https://attack.mitre.org/software/S0679) is a first stage implant composed of VBS and PowerShell scripts that has been used by [WIRTE](https://attack.mitre.org/groups/G0090) since at least 2021.(Citation: Kaspersky WIRTE November 2021),https://attack.mitre.org/software/S0679,01 February 2022,01 February 2022,1.0,,Windows,,malware,"(Citation: Kaspersky WIRTE November 2021),,(Citation: Kaspersky WIRTE November 2021)"
S0120,Fgdump,[Fgdump](https://attack.mitre.org/software/S0120) is a Windows password hash dumper. (Citation: Mandiant APT1),https://attack.mitre.org/software/S0120,31 May 2017,30 March 2020,1.1,,Windows,,tool,",,(Citation: Mandiant APT1)"
S0182,FinFisher,[FinFisher](https://attack.mitre.org/software/S0182) is a government-grade commercial surveillance spyware reportedly sold exclusively to government agencies for use in targeted and lawful criminal investigations. It is heavily obfuscated and uses multiple anti-analysis techniques. It has other variants including [Wingbird](https://attack.mitre.org/software/S0176). (Citation: FinFisher Citation) (Citation: Microsoft SIR Vol 21) (Citation: FireEye FinSpy Sept 2017) (Citation: Securelist BlackOasis Oct 2017) (Citation: Microsoft FinFisher March 2018),https://attack.mitre.org/software/S0182,16 January 2018,02 March 2022,1.4,,"Android, Windows",FinSpy,malware,"(Citation: Lookout Dark Caracal Jan 2018),,(Citation: Securelist BlackOasis Oct 2017),(Citation: FinFisher Citation),(Citation: FinFisher exposed ),(Citation: Microsoft FinFisher March 2018),(Citation: Elastic Process Injection July 2017)"
S0355,Final1stspy,[Final1stspy](https://attack.mitre.org/software/S0355) is a dropper family that has been used to deliver [DOGCALL](https://attack.mitre.org/software/S0213).(Citation: Unit 42 Nokki Oct 2018),https://attack.mitre.org/software/S0355,31 January 2019,30 March 2020,1.1,,Windows,,malware,"(Citation: Unit 42 Nokki Oct 2018),,(Citation: Unit 42 Nokki Oct 2018)"
S0696,Flagpro,"[Flagpro](https://attack.mitre.org/software/S0696) is a Windows-based, first-stage downloader that has been used by [BlackTech](https://attack.mitre.org/groups/G0098) since at least October 2020. It has primarily been used against defense, media, and communications companies in Japan.(Citation: NTT Security Flagpro new December 2021) ",https://attack.mitre.org/software/S0696,25 March 2022,01 April 2022,1.0,"Hannah Simes, BT Security",Windows,,malware,"(Citation: NTT Security Flagpro new December 2021),,(Citation: NTT Security Flagpro new December 2021)"
S0143,Flame,"[Flame](https://attack.mitre.org/software/S0143) is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame)",https://attack.mitre.org/software/S0143,31 May 2017,12 October 2022,1.1,,Windows,"Flamer, sKyWIper",malware,",,(Citation: Kaspersky Flame),(Citation: Kaspersky Flame Functionality),(Citation: Symantec Beetlejuice),(Citation: Crysys Skywiper)"
S0381,FlawedAmmyy,"[FlawedAmmyy](https://attack.mitre.org/software/S0381) is a remote access tool (RAT) that was first seen in early 2016. The code for [FlawedAmmyy](https://attack.mitre.org/software/S0381) was based on leaked source code for a version of Ammyy Admin, a remote access software.(Citation: Proofpoint TA505 Mar 2018)",https://attack.mitre.org/software/S0381,28 May 2019,18 July 2022,1.2,,Windows,,malware,"(Citation: Proofpoint TA505 Mar 2018),(Citation: Trend Micro TA505 June 2019),(Citation: Visa FIN6 Feb 2019),(Citation: Proofpoint TA505 October 2019),,(Citation: Korean FSI TA505 2020),(Citation: Proofpoint TA505 Mar 2018)"
S0383,FlawedGrace,[FlawedGrace](https://attack.mitre.org/software/S0383) is a fully featured remote access tool (RAT) written in C++ that was first observed in late 2017.(Citation: Proofpoint TA505 Jan 2019),https://attack.mitre.org/software/S0383,29 May 2019,07 June 2019,1.0,,Windows,,malware,"(Citation: Trend Micro TA505 June 2019),(Citation: Proofpoint TA505 Jan 2019),(Citation: Proofpoint TA505 October 2019),,(Citation: Proofpoint TA505 Jan 2019)"
S0661,FoggyWeb,[FoggyWeb](https://attack.mitre.org/software/S0661) is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services (AD FS) server. It has been used by [APT29](https://attack.mitre.org/groups/G0016) since at least early April 2021.(Citation: MSTIC FoggyWeb September 2021),https://attack.mitre.org/software/S0661,16 November 2021,15 April 2022,1.0,"Craig Smith, BT Security",Windows,,malware,"(Citation: MSTIC FoggyWeb September 2021),,(Citation: MSTIC FoggyWeb September 2021)"
S0193,Forfiles,"[Forfiles](https://attack.mitre.org/software/S0193) is a Windows utility commonly used in batch jobs to execute commands on one or more selected files or directories (ex: list all directories in a drive, read the first line of all files created yesterday, etc.). Forfiles can be executed from either the command line, Run window, or batch files/scripts. (Citation: Microsoft Forfiles Aug 2016)",https://attack.mitre.org/software/S0193,18 April 2018,17 October 2018,1.0,,,,tool,"(Citation: Überwachung APT28 Forfiles June 2015),,(Citation: Überwachung APT28 Forfiles June 2015),(Citation: VectorSec ForFiles Aug 2017),(Citation: Evi1cg Forfiles Nov 2017)"
S0503,FrameworkPOS,[FrameworkPOS](https://attack.mitre.org/software/S0503) is a point of sale (POS) malware used by [FIN6](https://attack.mitre.org/groups/G0037) to steal payment card data from sytems that run physical POS devices.(Citation: SentinelOne FrameworkPOS September 2019),https://attack.mitre.org/software/S0503,08 September 2020,19 October 2020,1.0,Center for Threat-Informed Defense (CTID),,Trinity,malware,"(Citation: Crowdstrike Global Threat Report Feb 2018),(Citation: SentinelOne FrameworkPOS September 2019),(Citation: Visa FIN6 Feb 2019),,(Citation: SentinelOne FrameworkPOS September 2019),(Citation: FireEye FIN6 April 2016)"
S0277,FruitFly,FruitFly is designed to spy on mac users  (Citation: objsee mac malware 2017).,https://attack.mitre.org/software/S0277,17 October 2018,30 March 2020,1.1,,macOS,,malware,",,(Citation: objsee mac malware 2017)"
S1044,FunnyDream,"[FunnyDream](https://attack.mitre.org/software/S1044) is a backdoor with multiple components that was used during the [FunnyDream](https://attack.mitre.org/campaigns/C0007) campaign since at least 2019, primarily for execution and exfiltration.(Citation: Bitdefender FunnyDream Campaign November 2020)",https://attack.mitre.org/software/S1044,23 September 2022,11 October 2022,1.0,,Windows,,malware,",(Citation: Bitdefender FunnyDream Campaign November 2020),(Citation: Kaspersky APT Trends Q1 2020),(Citation: Bitdefender FunnyDream Campaign November 2020)"
S0410,Fysbis,[Fysbis](https://attack.mitre.org/software/S0410) is a Linux-based backdoor used by [APT28](https://attack.mitre.org/groups/G0007) that dates back to at least 2014.(Citation: Fysbis Palo Alto Analysis),https://attack.mitre.org/software/S0410,12 September 2019,06 November 2020,1.2,,Linux,,malware,"(Citation: Fysbis Palo Alto Analysis),,(Citation: Fysbis Palo Alto Analysis),(Citation: Fysbis Dr Web Analysis)"
S0026,GLOOXMAIL,[GLOOXMAIL](https://attack.mitre.org/software/S0026) is malware used by [APT1](https://attack.mitre.org/groups/G0006) that mimics legitimate Jabber/XMPP traffic. (Citation: Mandiant APT1),https://attack.mitre.org/software/S0026,31 May 2017,30 March 2020,1.1,,Windows,Trojan.GTALK,malware,"(Citation: Mandiant APT1),,(Citation: Mandiant APT1),(Citation: CyberESI GTALK)"
S0417,GRIFFON,[GRIFFON](https://attack.mitre.org/software/S0417) is a JavaScript backdoor used by [FIN7](https://attack.mitre.org/groups/G0046). (Citation: SecureList Griffon May 2019),https://attack.mitre.org/software/S0417,11 October 2019,23 June 2020,1.1,,Windows,,malware,"(Citation: FBI Flash FIN7 USB),(Citation: CrowdStrike Carbon Spider August 2021),(Citation: SecureList Griffon May 2019),,(Citation: SecureList Griffon May 2019)"
S0168,Gazer,[Gazer](https://attack.mitre.org/software/S0168) is a backdoor used by [Turla](https://attack.mitre.org/groups/G0010) since at least 2016. (Citation: ESET Gazer Aug 2017),https://attack.mitre.org/software/S0168,16 January 2018,04 December 2020,1.2,Bartosz Jerzman,Windows,WhiteBear,malware,"(Citation: ESET Gazer Aug 2017),,(Citation: ESET Gazer Aug 2017),(Citation: Securelist WhiteBear Aug 2017)"
S0666,Gelsemium,"[Gelsemium](https://attack.mitre.org/software/S0666) is a modular malware comprised of a dropper (Gelsemine), a loader (Gelsenicine), and main (Gelsevirine) plug-ins written using the Microsoft Foundation Class (MFC) framework. [Gelsemium](https://attack.mitre.org/software/S0666) has been used by the Gelsemium group since at least 2014.(Citation: ESET Gelsemium June 2021)",https://attack.mitre.org/software/S0666,30 November 2021,06 May 2022,1.0,,Windows,"Gelsemine, Gelsenicine, Gelsevirine",malware,",,(Citation: ESET Gelsemium June 2021)"
S0049,GeminiDuke,[GeminiDuke](https://attack.mitre.org/software/S0049) is malware that was used by [APT29](https://attack.mitre.org/groups/G0016) from 2009 to 2012. (Citation: F-Secure The Dukes),https://attack.mitre.org/software/S0049,31 May 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: F-Secure The Dukes),,(Citation: F-Secure The Dukes)"
S0460,Get2,"[Get2](https://attack.mitre.org/software/S0460) is a downloader written in C++ that has been used by [TA505](https://attack.mitre.org/groups/G0092) to deliver [FlawedGrace](https://attack.mitre.org/software/S0383), [FlawedAmmyy](https://attack.mitre.org/software/S0381), Snatch and [SDBbot](https://attack.mitre.org/software/S0461).(Citation: Proofpoint TA505 October 2019)",https://attack.mitre.org/software/S0460,29 May 2020,16 June 2020,1.0,,Windows,,malware,"(Citation: Proofpoint TA505 October 2019),,(Citation: Proofpoint TA505 October 2019)"
S0249,Gold Dragon,"[Gold Dragon](https://attack.mitre.org/software/S0249) is a Korean-language, data gathering implant that was first observed in the wild in South Korea in July 2017. [Gold Dragon](https://attack.mitre.org/software/S0249) was used along with [Brave Prince](https://attack.mitre.org/software/S0252) and [RunningRAT](https://attack.mitre.org/software/S0253) in operations targeting organizations associated with the 2018 Pyeongchang Winter Olympics. (Citation: McAfee Gold Dragon)",https://attack.mitre.org/software/S0249,17 October 2018,11 April 2022,1.2,,Windows,,malware,"(Citation: Talos Kimsuky Nov 2021),,(Citation: McAfee Gold Dragon)"
S0597,GoldFinder,"[GoldFinder](https://attack.mitre.org/software/S0597) is a custom HTTP tracer tool written in Go that logs the route a packet takes between a compromised network and a C2 server. It can be used to inform  threat actors of potential points of discovery or logging of their actions, including C2 related to other malware. [GoldFinder](https://attack.mitre.org/software/S0597) was discovered in early 2021 during an investigation into the SolarWinds cyber intrusion by [APT29](https://attack.mitre.org/groups/G0016).(Citation: MSTIC NOBELIUM Mar 2021)",https://attack.mitre.org/software/S0597,26 March 2021,24 April 2021,1.0,,Windows,,malware,"(Citation: MSTIC NOBELIUM Mar 2021),(Citation: Cybersecurity Advisory SVR TTP May 2021),(Citation: MSTIC Nobelium Toolset May 2021),(Citation: Secureworks IRON RITUAL Profile),,(Citation: MSTIC NOBELIUM Mar 2021)"
S0588,GoldMax,"[GoldMax](https://attack.mitre.org/software/S0588) is a second-stage C2 backdoor written in Go with Windows and Linux variants that are nearly identical in functionality. [GoldMax](https://attack.mitre.org/software/S0588) was discovered in early 2021 during the investigation into the SolarWinds intrusion, and has likely been used by [APT29](https://attack.mitre.org/groups/G0016) since at least mid-2019. [GoldMax](https://attack.mitre.org/software/S0588) uses multiple defense evasion techniques, including avoiding virtualization execution and masking malicious traffic.(Citation: MSTIC NOBELIUM Mar 2021)(Citation: FireEye SUNSHUTTLE Mar 2021)(Citation: CrowdStrike StellarParticle January 2022)",https://attack.mitre.org/software/S0588,12 March 2021,15 April 2022,2.0,,"Linux, Windows",SUNSHUTTLE,malware,"(Citation: Cybersecurity Advisory SVR TTP May 2021),(Citation: Secureworks IRON RITUAL Profile),(Citation: MSTIC NOBELIUM May 2021),(Citation: MSTIC Nobelium Toolset May 2021),(Citation: MSTIC NOBELIUM Mar 2021),,(Citation: MSTIC NOBELIUM Mar 2021),(Citation: FireEye SUNSHUTTLE Mar 2021),(Citation: CrowdStrike StellarParticle January 2022)"
S0493,GoldenSpy,"[GoldenSpy](https://attack.mitre.org/software/S0493) is a backdoor malware which has been packaged with legitimate tax preparation software. [GoldenSpy](https://attack.mitre.org/software/S0493) was discovered targeting organizations in China, being delivered with the ""Intelligent Tax"" software suite which is produced by the Golden Tax Department of Aisino Credit Information Co. and required to pay local taxes.(Citation: Trustwave GoldenSpy June 2020) ",https://attack.mitre.org/software/S0493,23 July 2020,19 August 2020,1.0,,Windows,,malware,",,(Citation: Trustwave GoldenSpy June 2020),(Citation: Trustwave GoldenSpy2 June 2020)"
S0477,Goopy,[Goopy](https://attack.mitre.org/software/S0477) is a Windows backdoor and Trojan used by [APT32](https://attack.mitre.org/groups/G0050) and shares several similarities to another backdoor used by the group ([Denis](https://attack.mitre.org/software/S0354)). [Goopy](https://attack.mitre.org/software/S0477) is named for its impersonation of the legitimate Google Updater executable.(Citation: Cybereason Cobalt Kitty 2017),https://attack.mitre.org/software/S0477,19 June 2020,11 July 2022,1.1,,Windows,,malware,"(Citation: Cybereason Cobalt Kitty 2017),,(Citation: Cybereason Cobalt Kitty 2017)"
S0531,Grandoreiro,"[Grandoreiro](https://attack.mitre.org/software/S0531) is a banking trojan written in Delphi that was first observed in 2016 and uses a Malware-as-a-Service (MaaS) business model. [Grandoreiro](https://attack.mitre.org/software/S0531) has confirmed victims in Brazil, Mexico, Portugal, and Spain.(Citation: Securelist Brazilian Banking Malware July 2020)(Citation: ESET Grandoreiro April 2020)",https://attack.mitre.org/software/S0531,10 November 2020,19 October 2022,1.0,,Windows,,malware,",,(Citation: Securelist Brazilian Banking Malware July 2020),(Citation: IBM Grandoreiro April 2020),(Citation: ESET Grandoreiro April 2020)"
S0237,GravityRAT,"[GravityRAT](https://attack.mitre.org/software/S0237) is a remote access tool (RAT) and has been in ongoing development since 2016. The actor behind the tool remains unknown, but two usernames have been recovered that link to the author, which are ""TheMartian"" and ""The Invincible."" According to the National Computer Emergency Response Team (CERT) of India, the malware has been identified in attacks against organization and entities in India. (Citation: Talos GravityRAT)",https://attack.mitre.org/software/S0237,17 October 2018,30 March 2020,1.2,,Windows,,malware,",,(Citation: Talos GravityRAT)"
S0690,Green Lambert,"[Green Lambert](https://attack.mitre.org/software/S0690) is a modular backdoor that security researchers assess has been used by an advanced threat group referred to as Longhorn and The Lamberts. First reported in 2017, the Windows variant of [Green Lambert](https://attack.mitre.org/software/S0690) may have been used as early as 2008; a macOS version was uploaded to a multiscanner service in September 2014.(Citation: Kaspersky Lamberts Toolkit April 2017)(Citation: Objective See Green Lambert for OSX Oct 2021)  ",https://attack.mitre.org/software/S0690,21 March 2022,20 April 2022,1.0,Runa Sandvik,"Linux, Windows, iOS, macOS",,malware,",,(Citation: Objective See Green Lambert for OSX Oct 2021),(Citation: Glitch-Cat Green Lambert ATTCK Oct 2021)"
S0342,GreyEnergy,[GreyEnergy](https://attack.mitre.org/software/S0342) is a backdoor written in C and compiled in Visual Studio. [GreyEnergy](https://attack.mitre.org/software/S0342) shares similarities with the [BlackEnergy](https://attack.mitre.org/software/S0089) malware and is thought to be the successor of it.(Citation: ESET GreyEnergy Oct 2018),https://attack.mitre.org/software/S0342,30 January 2019,30 March 2020,1.1,,Windows,,malware,"(Citation: Secureworks IRON VIKING ),,(Citation: ESET GreyEnergy Oct 2018)"
S0632,GrimAgent,[GrimAgent](https://attack.mitre.org/software/S0632) is a backdoor that has been used before the deployment of [Ryuk](https://attack.mitre.org/software/S0446) ransomware since at least 2020; it is likely used by [FIN6](https://attack.mitre.org/groups/G0037) and [Wizard Spider](https://attack.mitre.org/groups/G0102).(Citation: Group IB GrimAgent July 2021),https://attack.mitre.org/software/S0632,16 July 2021,29 July 2022,1.1,,Windows,,malware,"(Citation: Group IB GrimAgent July 2021),,(Citation: Group IB GrimAgent July 2021)"
S0561,GuLoader,"[GuLoader](https://attack.mitre.org/software/S0561) is a file downloader that has been used since at least December 2019 to distribute a variety of remote administration tool (RAT) malware, including [NETWIRE](https://attack.mitre.org/software/S0198), [Agent Tesla](https://attack.mitre.org/software/S0331), [NanoCore](https://attack.mitre.org/software/S0336), FormBook, and Parallax RAT.(Citation: Unit 42 NETWIRE April 2020)(Citation: Medium Eli Salem GuLoader April 2021)",https://attack.mitre.org/software/S0561,11 January 2021,15 October 2021,2.0,"Eli Salem, @elisalem9",Windows,,malware,",,(Citation: Unit 42 NETWIRE April 2020),(Citation: Medium Eli Salem GuLoader April 2021)"
S0132,H1N1,"[H1N1](https://attack.mitre.org/software/S0132) is a malware variant that has been distributed via a campaign using VBA macros to infect victims. Although it initially had only loader capabilities, it has evolved to include information-stealing functionality. (Citation: Cisco H1N1 Part 1)",https://attack.mitre.org/software/S0132,31 May 2017,30 March 2020,1.2,,Windows,,malware,",,(Citation: Cisco H1N1 Part 1),(Citation: Cisco H1N1 Part 2)"
S0151,HALFBAKED,[HALFBAKED](https://attack.mitre.org/software/S0151) is a malware family consisting of multiple components intended to establish persistence in victim networks. (Citation: FireEye FIN7 April 2017),https://attack.mitre.org/software/S0151,14 December 2017,17 October 2018,1.0,,,,malware,"(Citation: FireEye FIN7 April 2017),(Citation: FireEye FIN7 Aug 2018),,(Citation: FireEye FIN7 April 2017)"
S0037,HAMMERTOSS,[HAMMERTOSS](https://attack.mitre.org/software/S0037) is a backdoor that was used by [APT29](https://attack.mitre.org/groups/G0016) in 2015. (Citation: FireEye APT29) (Citation: F-Secure The Dukes),https://attack.mitre.org/software/S0037,31 May 2017,09 February 2021,1.2,,Windows,"HammerDuke, NetDuke",malware,"(Citation: Secureworks IRON HEMLOCK Profile),(Citation: F-Secure The Dukes),,(Citation: FireEye APT29)"
S0214,HAPPYWORK,[HAPPYWORK](https://attack.mitre.org/software/S0214) is a downloader used by [APT37](https://attack.mitre.org/groups/G0067) to target South Korean government and financial victims in November 2016. (Citation: FireEye APT37 Feb 2018),https://attack.mitre.org/software/S0214,18 April 2018,17 October 2018,1.0,,,,malware,"(Citation: FireEye APT37 Feb 2018),,(Citation: FireEye APT37 Feb 2018)"
S0246,HARDRAIN,[HARDRAIN](https://attack.mitre.org/software/S0246) is a Trojan malware variant reportedly used by the North Korean government. (Citation: US-CERT HARDRAIN March 2018),https://attack.mitre.org/software/S0246,17 October 2018,30 March 2020,1.1,,Windows,,malware,"(Citation: US-CERT HARDRAIN March 2018),,(Citation: US-CERT HARDRAIN March 2018)"
S0391,HAWKBALL,[HAWKBALL](https://attack.mitre.org/software/S0391) is a backdoor that was observed in targeting of the government sector in Central Asia.(Citation: FireEye HAWKBALL Jun 2019),https://attack.mitre.org/software/S0391,20 June 2019,30 March 2020,1.1,,Windows,,malware,",,(Citation: FireEye HAWKBALL Jun 2019)"
S0061,HDoor,[HDoor](https://attack.mitre.org/software/S0061) is malware that has been customized and used by the [Naikon](https://attack.mitre.org/groups/G0019) group. (Citation: Baumgartner Naikon 2015),https://attack.mitre.org/software/S0061,31 May 2017,25 April 2019,1.0,,Windows,Custom HDoor,malware,"(Citation: Baumgartner Naikon 2015),,(Citation: Baumgartner Naikon 2015)"
S0617,HELLOKITTY,"[HELLOKITTY](https://attack.mitre.org/software/S0617) is a ransomware written in C++  that shares similar code structure and functionality with [DEATHRANSOM](https://attack.mitre.org/software/S0616) and [FIVEHANDS](https://attack.mitre.org/software/S0618). [HELLOKITTY](https://attack.mitre.org/software/S0617) has been used since at least 2020, targets have included a Polish video game developer and a Brazilian electric power company.(Citation: FireEye FiveHands April 2021)",https://attack.mitre.org/software/S0617,03 June 2021,18 October 2021,1.0,,Windows,,malware,",,(Citation: FireEye FiveHands April 2021)"
S0135,HIDEDRV,[HIDEDRV](https://attack.mitre.org/software/S0135) is a rootkit used by [APT28](https://attack.mitre.org/groups/G0007). It has been deployed along with [Downdelph](https://attack.mitre.org/software/S0134) to execute and hide that malware. (Citation: ESET Sednit Part 3) (Citation: Sekoia HideDRV Oct 2016),https://attack.mitre.org/software/S0135,31 May 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: ESET Sednit Part 3),,(Citation: ESET Sednit Part 3)"
S0232,HOMEFRY,[HOMEFRY](https://attack.mitre.org/software/S0232) is a 64-bit Windows password dumper/cracker that has previously been used in conjunction with other [Leviathan](https://attack.mitre.org/groups/G0065) backdoors. (Citation: FireEye Periscope March 2018),https://attack.mitre.org/software/S0232,18 April 2018,30 March 2020,1.1,,Windows,,malware,"(Citation: FireEye Periscope March 2018),,(Citation: FireEye Periscope March 2018)"
S0376,HOPLIGHT,[HOPLIGHT](https://attack.mitre.org/software/S0376) is a backdoor Trojan that has reportedly been used by the North Korean government.(Citation: US-CERT HOPLIGHT Apr 2019),https://attack.mitre.org/software/S0376,19 April 2019,30 March 2020,1.1,,Windows,,malware,"(Citation: US-CERT HOPLIGHT Apr 2019),(Citation: CISA AA20-239A BeagleBoyz August 2020),,(Citation: US-CERT HOPLIGHT Apr 2019)"
S0040,HTRAN,[HTRAN](https://attack.mitre.org/software/S0040) is a tool that proxies connections through intermediate hops and aids users in disguising their true geographical location. It can be used by adversaries to hide their location when interacting with the victim networks. (Citation: Operation Quantum Entanglement)(Citation: NCSC Joint Report Public Tools),https://attack.mitre.org/software/S0040,31 May 2017,23 April 2021,1.2,,"Linux, Windows",HUC Packet Transmit Tool,tool,"(Citation: Trend Micro IXESHE 2012),(Citation: Microsoft GALLIUM December 2019),(Citation: Cybereason Soft Cell June 2019),,(Citation: NCSC Joint Report Public Tools),(Citation: Operation Quantum Entanglement)"
