reference,citation,url
Chafer,Activities associated with APT39 largely align with a group publicly referred to as Chafer.(Citation: FireEye APT39 Jan 2019)(Citation: Symantec Chafer Dec 2015)(Citation: Dark Reading APT39 JAN 2019)(Citation: FBI FLASH APT39 September 2020)(Citation: Dept. of Treasury Iran Sanctions September 2020)(Citation: DOJ Iran Indictments September 2020),
Chaos Stolen Backdoor,"Sebastian Feldmann. (2018, February 14). Chaos: a Stolen Backdoor Rising Again. Retrieved March 5, 2018.",http://gosecure.net/2018/02/14/chaos-stolen-backdoor-rising/
Check Point APT31 February 2021,"Itkin, E. and Cohen, I. (2021, February 22). The Story of Jian – How APT31 Stole and Used an Unknown Equation Group 0-Day. Retrieved March 24, 2021.",https://research.checkpoint.com/2021/the-story-of-jian/
Check Point APT34 April 2021,"Check Point. (2021, April 8). Iran’s APT34 Returns with an Updated Arsenal. Retrieved May 5, 2021.",https://research.checkpoint.com/2021/irans-apt34-returns-with-an-updated-arsenal/
Check Point APT35 CharmPower January 2022,"Check Point. (2022, January 11). APT35 exploits Log4j vulnerability to distribute new modular PowerShell toolkit. Retrieved January 24, 2022.",https://research.checkpoint.com/2022/apt35-exploits-log4j-vulnerability-to-distribute-new-modular-powershell-toolkit/
Check Point Havij Analysis,"Ganani, M. (2015, May 14). Analysis of the Havij SQL Injection tool. Retrieved March 19, 2018.",https://blog.checkpoint.com/2015/05/14/analysis-havij-sql-injection-tool/
Check Point Meteor Aug 2021,"Check Point Research Team. (2021, August 14). Indra - Hackers Behind Recent Attacks on Iran. Retrieved February 17, 2022.",https://research.checkpoint.com/2021/indra-hackers-behind-recent-attacks-on-iran/
Check Point Pay2Key November 2020,"Check Point. (2020, November 6). Ransomware Alert: Pay2Key. Retrieved January 4, 2021.",https://research.checkpoint.com/2020/ransomware-alert-pay2key/
Check Point Rocket Kitten,"Check Point Software Technologies. (2015). ROCKET KITTEN: A CAMPAIGN WITH 9 LIVES. Retrieved March 16, 2018.",https://blog.checkpoint.com/wp-content/uploads/2015/11/rocket-kitten-report.pdf
Check Point Sunburst Teardrop December 2020,"Check Point Research. (2020, December 22). SUNBURST, TEARDROP and the NetSec New Normal. Retrieved January 6, 2021.",https://research.checkpoint.com/2020/sunburst-teardrop-and-the-netsec-new-normal/
Check Point Warzone Feb 2020,"Harakhavik, Y. (2020, February 3). Warzone: Behind the enemy lines. Retrieved December 17, 2021.",https://research.checkpoint.com/2020/warzone-behind-the-enemy-lines/
CheckPoint Bandook Nov 2020,"Check Point. (2020, November 26). Bandook: Signed & Delivered. Retrieved May 31, 2021.",https://research.checkpoint.com/2020/bandook-signed-delivered/
CheckPoint Dok,"Ofer Caspi. (2017, May 4). OSX Malware is Catching Up, and it wants to Read Your HTTPS Traffic. Retrieved October 5, 2021.",https://blog.checkpoint.com/2017/04/27/osx-malware-catching-wants-read-https-traffic/
CheckPoint Naikon May 2020,"CheckPoint. (2020, May 7). Naikon APT: Cyber Espionage Reloaded. Retrieved May 26, 2020.",https://research.checkpoint.com/2020/naikon-apt-cyber-espionage-reloaded/
CheckPoint Redaman October 2019,"Eisenkraft, K., Olshtein, A. (2019, October 17). Pony’s C&C servers hidden inside the Bitcoin blockchain. Retrieved June 15, 2020.",https://research.checkpoint.com/2019/ponys-cc-servers-hidden-inside-the-bitcoin-blockchain/
CheckPoint SpeakUp Feb 2019,"Check Point Research. (2019, February 4). SpeakUp: A New Undetected Backdoor Linux Trojan. Retrieved April 17, 2019.",https://research.checkpoint.com/speakup-a-new-undetected-backdoor-linux-trojan/
CheckPoint Volatile Cedar March 2015,"Threat Intelligence and Research. (2015, March 30). VOLATILE CEDAR. Retrieved February 8, 2021.",https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2015/03/20082004/volatile-cedar-technical-report.pdf
Checkpoint Dridex Jan 2021,"Check Point Research. (2021, January 4). Stopping Serial Killer: Catching the Next Strike. Retrieved September 7, 2021.",https://research.checkpoint.com/2021/stopping-serial-killer-catching-the-next-strike/
Checkpoint IndigoZebra July 2021,"CheckPoint Research. (2021, July 1). IndigoZebra APT continues to attack Central Asia with evolving tools. Retrieved September 24, 2021.",https://research.checkpoint.com/2021/indigozebra-apt-continues-to-attack-central-asia-with-evolving-tools/
Checkpoint MosesStaff Nov 2021,"Checkpoint Research. (2021, November 15). Uncovering MosesStaff techniques: Ideology over Money. Retrieved August 11, 2022.",https://research.checkpoint.com/2021/mosesstaff-targeting-israeli-companies/
Chkrootkit Main,"Murilo, N., Steding-Jessen, K. (2017, August 23). Chkrootkit. Retrieved April 9, 2018.",http://www.chkrootkit.org/
Chokepoint preload rootkits,"stderr. (2014, February 14). Detecting Userland Preload Rootkits. Retrieved December 20, 2017.",http://www.chokepoint.net/2014/02/detecting-userland-preload-rootkits.html
Chrome Extension C2 Malware,"Kjaer, M. (2016, July 18). Malware in the browser: how you might get hacked by a Chrome extension. Retrieved November 22, 2017.",https://kjaer.io/extension-malware/
Chrome Extension Crypto Miner,"Brinkmann, M. (2017, September 19). First Chrome extension with JavaScript Crypto Miner detected. Retrieved November 16, 2017.",https://www.ghacks.net/2017/09/19/first-chrome-extension-with-javascript-crypto-miner-detected/
Chrome Extensions Definition,"Chrome. (n.d.). What are Extensions?. Retrieved November 16, 2017.",https://developer.chrome.com/extensions
Chronicle Winnti for Linux May 2019,"Chronicle Blog. (2019, May 15). Winnti: More than just Windows and Gates. Retrieved April 29, 2020.",https://medium.com/chronicle-blog/winnti-more-than-just-windows-and-gates-e4f03436031a
Ciberseguridad Decoding malicious RTF files,"Pedrero, R.. (2021, July). Decoding malicious RTF files. Retrieved November 16, 2021.",https://ciberseguridad.blog/decodificando-ficheros-rtf-maliciosos/
Circl Passive DNS,"CIRCL Computer Incident Response Center. (n.d.). Passive DNS. Retrieved October 20, 2020.",https://www.circl.lu/services/passive-dns/
Cisco ARP Poisoning Mitigation 2016,"King, J., Lauerman, K. (2016, January 22). ARP Poisoning (Man-in-the-Middle) Attack and Mitigation Technique. Retrieved October 15, 2020.",https://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/white_paper_c11_603839.html
Cisco Advisory SNMP v3 Authentication Vulnerabilities,"Cisco. (2008, June 10). Identifying and Mitigating Exploitation of the SNMP Version 3 Authentication Vulnerabilities. Retrieved October 19, 2020.",https://tools.cisco.com/security/center/content/CiscoAppliedMitigationBulletin/cisco-amb-20080610-SNMPv3
Cisco Blog Legacy Device Attacks,"Omar Santos. (2020, October 19). Attackers Continue to Target Legacy Devices. Retrieved October 20, 2020.",https://community.cisco.com/t5/security-blogs/attackers-continue-to-target-legacy-devices/ba-p/4169954
Cisco CaddyWiper March 2022,"Malhotra, A. (2022, March 15). Threat Advisory: CaddyWiper. Retrieved March 23, 2022.",https://blog.talosintelligence.com/2022/03/threat-advisory-caddywiper.html
Cisco DNSMessenger March 2017,"Brumaghin, E. and Grady, C.. (2017, March 2). Covert Channels and Poor Decisions: The Tale of DNSMessenger. Retrieved March 8, 2017.",http://blog.talosintelligence.com/2017/03/dnsmessenger.html
Cisco DoSdetectNetflow,"Cisco. (n.d.). Detecting and Analyzing Network Threats With NetFlow. Retrieved April 25, 2019.",https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/netflow/configuration/15-mt/nf-15-mt-book/nf-detct-analy-thrts.pdf
Cisco Group 72,"Esler, J., Lee, M., and Williams, C. (2014, October 14). Threat Spotlight: Group 72. Retrieved January 14, 2016.",http://blogs.cisco.com/security/talos/threat-spotlight-group-72
Cisco H1N1 Part 1,"Reynolds, J.. (2016, September 13). H1N1: Technical analysis reveals new capabilities. Retrieved September 26, 2016.",http://blogs.cisco.com/security/h1n1-technical-analysis-reveals-new-capabilities
Cisco H1N1 Part 2,"Reynolds, J.. (2016, September 14). H1N1: Technical analysis reveals new capabilities – part 2. Retrieved September 26, 2016.",http://blogs.cisco.com/security/h1n1-technical-analysis-reveals-new-capabilities-part-2
Cisco IOS Forensics Developments,"Felix 'FX' Lindner. (2008, February). Developments in Cisco IOS Forensics. Retrieved October 21, 2020.",https://www.recurity-labs.com/research/RecurityLabs_Developments_in_IOS_Forensics.pdf
Cisco IOS Shellcode,"George Nosenko. (2015). CISCO IOS SHELLCODE: ALL-IN-ONE. Retrieved October 21, 2020.",http://2015.zeronights.org/assets/files/05-Nosenko.pdf
Cisco IOS Software Integrity Assurance - AAA,"Cisco. (n.d.). Cisco IOS Software Integrity Assurance - AAA. Retrieved October 19, 2020.",https://tools.cisco.com/security/center/resources/integrity_assurance.html#38
Cisco IOS Software Integrity Assurance - Boot Information,"Cisco. (n.d.). Cisco IOS Software Integrity Assurance - Boot Information. Retrieved October 21, 2020.",https://tools.cisco.com/security/center/resources/integrity_assurance.html#26
Cisco IOS Software Integrity Assurance - Change Control,"Cisco. (n.d.). Cisco IOS Software Integrity Assurance - Change Control. Retrieved October 21, 2020.",https://tools.cisco.com/security/center/resources/integrity_assurance.html#31
Cisco IOS Software Integrity Assurance - Command History,"Cisco. (n.d.). Cisco IOS Software Integrity Assurance - Command History. Retrieved October 21, 2020.",https://tools.cisco.com/security/center/resources/integrity_assurance.html#23
Cisco IOS Software Integrity Assurance - Credentials Management,"Cisco. (n.d.). Cisco IOS Software Integrity Assurance - Credentials Management. Retrieved October 19, 2020.",https://tools.cisco.com/security/center/resources/integrity_assurance.html#40
Cisco IOS Software Integrity Assurance - Deploy Signed IOS,"Cisco. (n.d.). Cisco IOS Software Integrity Assurance - Deploy Signed IOS. Retrieved October 21, 2020.",https://tools.cisco.com/security/center/resources/integrity_assurance.html#34
Cisco IOS Software Integrity Assurance - Image File Integrity,"Cisco. (n.d.). Cisco IOS Software Integrity Assurance - Image File Integrity. Retrieved October 21, 2020.",https://tools.cisco.com/security/center/resources/integrity_assurance.html#30
Cisco IOS Software Integrity Assurance - Image File Verification,"Cisco. (n.d.). Cisco IOS Software Integrity Assurance - Cisco IOS Image File Verification. Retrieved October 19, 2020.",https://tools.cisco.com/security/center/resources/integrity_assurance.html#7
Cisco IOS Software Integrity Assurance - Run-Time Memory Verification,"Cisco. (n.d.). Cisco IOS Software Integrity Assurance - Cisco IOS Run-Time Memory Integrity Verification. Retrieved October 19, 2020.",https://tools.cisco.com/security/center/resources/integrity_assurance.html#13
Cisco IOS Software Integrity Assurance - Secure Boot,"Cisco. (n.d.). Cisco IOS Software Integrity Assurance - Secure Boot. Retrieved October 19, 2020.",https://tools.cisco.com/security/center/resources/integrity_assurance.html#35
Cisco IOS Software Integrity Assurance - TACACS,"Cisco. (n.d.). Cisco IOS Software Integrity Assurance - TACACS. Retrieved October 19, 2020.",https://tools.cisco.com/security/center/resources/integrity_assurance.html#39
Cisco Securing SNMP,"Cisco. (2006, May 10). Securing Simple Network Management Protocol. Retrieved October 19, 2020.",https://www.cisco.com/c/en/us/support/docs/ip/simple-network-management-protocol-snmp/20370-snmpsecurity-20370.html
Cisco Synful Knock Evolution,"Graham Holmes. (2015, October 8). Evolution of attacks on Cisco IOS devices. Retrieved October 19, 2020.",https://blogs.cisco.com/security/evolution-of-attacks-on-cisco-ios-devices
Cisco Talos Bitter Bangladesh May 2022,"Raghuprasad, C . (2022, May 11). Bitter APT adds Bangladesh to their targets. Retrieved June 1, 2022.",https://blog.talosintelligence.com/2022/05/bitter-apt-adds-bangladesh-to-their.html
Cisco Talos Intelligence Group,"Darin Smith. (2022, April 21). TeamTNT targeting AWS, Alibaba. Retrieved August 4, 2022.",https://blog.talosintelligence.com/2022/04/teamtnt-targeting-aws-alibaba.html
Cisco Talos Transparent Tribe Education Campaign July 2022,"N. Baisini. (2022, July 13). Transparent Tribe begins targeting education sector in latest campaign. Retrieved September 22, 2022.",https://blog.talosintelligence.com/2022/07/transparent-tribe-targets-education.html
Cisco Traffic Mirroring,"Cisco. (n.d.). Cisco IOS XR Interface and Hardware Component Configuration Guide for the Cisco CRS Router, Release 5.1.x. Retrieved October 19, 2020.",https://www.cisco.com/c/en/us/td/docs/routers/crs/software/crs_r5-1/interfaces/configuration/guide/hc51xcrsbook/hc51span.html
Cisco Ukraine Wipers January 2022,"Biasini, N. et al.. (2022, January 21). Ukraine Campaign Delivers Defacement and Wipers, in Continued Escalation. Retrieved March 14, 2022.", https://blog.talosintelligence.com/2022/01/ukraine-campaign-delivers-defacement.html
Cisco Umbrella DGA,"Scarfo, A. (2016, October 10). Domain Generation Algorithms – Why so effective?. Retrieved February 18, 2019.",https://umbrella.cisco.com/blog/2016/10/10/domain-generation-algorithms-effective/
Cisco Umbrella DGA Brute Force,"Kasza, A. (2015, February 18). Using Algorithms to Brute Force Algorithms. Retrieved February 18, 2019.",https://umbrella.cisco.com/blog/2015/02/18/at-high-noon-algorithms-do-battle/
CiscoAngler,"Nick Biasini. (2015, March 3). Threat Spotlight: Angler Lurking in the Domain Shadows. Retrieved March 6, 2017.",https://blogs.cisco.com/security/talos/angler-domain-shadowing
Citizen Lab Group5,"Scott-Railton, J., et al. (2016, August 2). Group5: Syria and the Iranian Connection. Retrieved September 26, 2016.",https://citizenlab.ca/2016/08/group5-syria/
Citizen Lab Stealth Falcon May 2016,"Marczak, B. and Scott-Railton, J.. (2016, May 29). Keep Calm and (Don’t) Enable Macros: A New Threat Actor Targets UAE Dissidents. Retrieved June 8, 2016.",https://citizenlab.org/2016/05/stealth-falcon/
CitizenLab KeyBoy Nov 2016,"Hulcoop, A., et al. (2016, November 17). It’s Parliamentary KeyBoy and the targeting of the Tibetan Community. Retrieved June 13, 2019.",https://citizenlab.ca/2016/11/parliament-keyboy/
CitizenLab Tropic Trooper Aug 2018,"Alexander, G., et al. (2018, August 8). Familiar Feeling: A Malware Campaign Targeting the Tibetan Diaspora Resurfaces. Retrieved June 17, 2019.",https://citizenlab.ca/2018/08/familiar-feeling-a-malware-campaign-targeting-the-tibetan-diaspora-resurfaces/
Citizenlab Packrat 2015,"Scott-Railton, J., et al. (2015, December 8). Packrat. Retrieved December 18, 2020.",https://citizenlab.ca/2015/12/packrat-report/
Ciubotariu 2014,"Ciubotariu, M. (2014, January 23). Trojan.Zeroaccess.C Hidden in NTFS EA. Retrieved December 2, 2014.",http://www.symantec.com/connect/blogs/trojanzeroaccessc-hidden-ntfs-ea
ClearSky Charming Kitten Dec 2017,"ClearSky Cyber Security. (2017, December). Charming Kitten. Retrieved December 27, 2017.",http://www.clearskysec.com/wp-content/uploads/2017/12/Charming_Kitten_2017.pdf
ClearSky CopyKittens March 2017,"ClearSky Cyber Security. (2017, March 30). Jerusalem Post and other Israeli websites compromised by Iranian threat agent CopyKitten. Retrieved August 21, 2017.",http://www.clearskysec.com/copykitten-jpost/
ClearSky Kittens Back 2 Oct 2019,"ClearSky Research Team. (2019, October 1). The Kittens Are Back in Town2 - Charming Kitten Campaign KeepsGoing on, Using New Impersonation Methods. Retrieved April 21, 2021.",https://www.clearskysec.com/wp-content/uploads/2019/10/The-Kittens-Are-Back-in-Town-2-1.pdf
ClearSky Kittens Back 3 August 2020,"ClearSky Research Team. (2020, August 1). The Kittens Are Back in Town 3 - Charming Kitten Campaign Evolved and Deploying Spear-Phishing link by WhatsApp. Retrieved April 21, 2021.",https://www.clearskysec.com/wp-content/uploads/2020/08/The-Kittens-are-Back-in-Town-3.pdf
ClearSky Lazarus Aug 2020,"ClearSky Research Team. (2020, August 13). Operation 'Dream Job' Widespread North Korean Espionage Campaign. Retrieved December 20, 2021.",https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf
ClearSky Lebanese Cedar Jan 2021,"ClearSky Cyber Security. (2021, January). “Lebanese Cedar” APT Global Lebanese Espionage Campaign Leveraging Web Servers. Retrieved February 10, 2021.",https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf
ClearSky MuddyWater June 2019,"ClearSky. (2019, June). Iranian APT group ‘MuddyWater’ Adds Exploits to Their Arsenal. Retrieved May 14, 2020.",https://www.clearskysec.com/wp-content/uploads/2019/06/Clearsky-Iranian-APT-group-%E2%80%98MuddyWater%E2%80%99-Adds-Exploits-to-Their-Arsenal.pdf
ClearSky MuddyWater Nov 2018,"ClearSky Cyber Security. (2018, November). MuddyWater Operations in Lebanon and Oman: Using an Israeli compromised domain for a two-stage campaign. Retrieved November 29, 2018.",https://www.clearskysec.com/wp-content/uploads/2018/11/MuddyWater-Operations-in-Lebanon-and-Oman.pdf
ClearSky OilRig Jan 2017,"ClearSky Cybersecurity. (2017, January 5). Iranian Threat Agent OilRig Delivers Digitally Signed Malware, Impersonates University of Oxford. Retrieved May 3, 2017.",http://www.clearskysec.com/oilrig/
ClearSky Pay2Kitten December 2020,"ClearSky. (2020, December 17). Pay2Key Ransomware – A New Campaign by Fox Kitten. Retrieved December 21, 2020.",https://www.clearskysec.com/wp-content/uploads/2020/12/Pay2Kitten.pdf
ClearSky Siamesekitten August 2021,"ClearSky Cyber Security . (2021, August). New Iranian Espionage Campaign By “Siamesekitten” - Lyceum. Retrieved June 6, 2022.",https://www.clearskysec.com/siamesekitten/
ClearSky Wilted Tulip July 2017,"ClearSky Cyber Security and Trend Micro. (2017, July). Operation Wilted Tulip: Exposing a cyber espionage apparatus. Retrieved August 21, 2017.",http://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf
ClearSky and Trend Micro Operation Wilted Tulip July 2017,"ClearSky and Trend Micro. (2017, July). Operation Wilted Tulip - Exposing a cyber espionage apparatus. Retrieved May 17, 2021.",https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf
ClearkSky Fox Kitten February 2020,"ClearSky. (2020, February 16). Fox Kitten – Widespread Iranian Espionage-Offensive Campaign. Retrieved December 21, 2020.",https://www.clearskysec.com/fox-kitten/
Clockwork SSH Agent Hijacking,"Beuchler, B. (2012, September 28). SSH Agent Hijacking. Retrieved December 20, 2017.",https://www.clockwork.com/news/2012/09/28/602/ssh_agent_hijacking
Cloud Audit Logs,"Google. (n.d.). Audit Logs. Retrieved June 1, 2020.",https://cloud.google.com/logging/docs/audit#admin-activity
CloudSploit - Unused AWS Regions,"CloudSploit. (2019, June 8). The Danger of Unused AWS Regions. Retrieved October 8, 2019.",https://blog.cloudsploit.com/the-danger-of-unused-aws-regions-af0bf1b878fc
Cloudflare DNSamplficationDoS,"Cloudflare. (n.d.). What is a DNS amplification attack?. Retrieved April 23, 2019.",https://www.cloudflare.com/learning/ddos/dns-amplification-ddos-attack/
Cloudflare HTTPflood,"Cloudflare. (n.d.). What is an HTTP flood DDoS attack?. Retrieved April 22, 2019.",https://www.cloudflare.com/learning/ddos/http-flood-ddos-attack/
Cloudflare Memcrashed Feb 2018,"Marek Majkowski of Cloudflare. (2018, February 27). Memcrashed - Major amplification attacks from UDP port 11211. Retrieved April 18, 2019.",https://blog.cloudflare.com/memcrashed-major-amplification-attacks-from-port-11211/
Cloudflare NTPamplifciationDoS,"Cloudflare. (n.d.). What is a NTP amplificaiton attack?. Retrieved April 23, 2019.",https://www.cloudflare.com/learning/ddos/ntp-amplification-ddos-attack/
Cloudflare ReflectionDoS May 2017,"Marek Majkowsk, Cloudflare. (2017, May 24). Reflections on reflection (attacks). Retrieved April 23, 2019.",https://blog.cloudflare.com/reflections-on-reflections/
Cloudflare SynFlood,"Cloudflare. (n.d.). What is a SYN flood attack?. Retrieved April 22, 2019.",https://www.cloudflare.com/learning/ddos/syn-flood-ddos-attack/
Clymb3r Function Hook Passwords Sept 2013,"Bialek, J. (2013, September 15). Intercepting Password Changes With Function Hooking. Retrieved November 21, 2017.",https://clymb3r.wordpress.com/2013/09/15/intercepting-password-changes-with-function-hooking/
Cobalt Strike Arguments 2019,"Mudge, R. (2019, January 2). https://blog.cobaltstrike.com/2019/01/02/cobalt-strike-3-13-why-do-we-argue/. Retrieved November 19, 2021.",https://blog.cobaltstrike.com/2019/01/02/cobalt-strike-3-13-why-do-we-argue/
Cobalt Strike Browser Pivot,"Mudge, R. (n.d.). Browser Pivoting. Retrieved January 10, 2018.",https://www.cobaltstrike.com/help-browser-pivoting
Cobalt Strike DCOM Jan 2017,"Mudge, R. (2017, January 24). Scripting Matt Nelson’s MMC20.Application Lateral Movement Technique. Retrieved November 21, 2017.",https://blog.cobaltstrike.com/2017/01/24/scripting-matt-nelsons-mmc20-application-lateral-movement-technique/
Cobalt Strike Manual 4.3 November 2020,"Strategic Cyber LLC. (2020, November 5). Cobalt Strike: Advanced Threat Tactics for Penetration Testers. Retrieved April 13, 2021.",https://web.archive.org/web/20210708035426/https://www.cobaltstrike.com/downloads/csmanual43.pdf
Cobalt Strike TTPs Dec 2017,"Cobalt Strike. (2017, December 8). Tactics, Techniques, and Procedures. Retrieved December 20, 2017.",https://www.cobaltstrike.com/downloads/reports/tacticstechniquesandprocedures.pdf
CobaltStrike Daddy May 2017,"Mudge, R. (2017, May 23). Cobalt Strike 3.8 – Who’s Your Daddy?. Retrieved June 4, 2019.",https://blog.cobaltstrike.com/2017/05/23/cobalt-strike-3-8-whos-your-daddy/
CobaltStrike Scripted Web Delivery,"Strategic Cyber, LLC. (n.d.). Scripted Web Delivery. Retrieved January 23, 2018.",https://www.cobaltstrike.com/help-scripted-web-delivery
Code Injection on Linux and macOS,"Itamar Turner-Trauring. (2017, April 18). “This will only hurt for a moment”: code injection on Linux and macOS with LD_PRELOAD. Retrieved December 20, 2017.",https://www.datawire.io/code-injection-on-linux-and-macos/
Cofense Astaroth Sept 2018,"Doaty, J., Garrett, P.. (2018, September 10). We’re Seeing a Resurgence of the Demonic Astaroth WMIC Trojan. Retrieved April 17, 2019.",https://cofense.com/seeing-resurgence-demonic-astaroth-wmic-trojan/
Cofense NanoCore Mar 2018,"Patel, K. (2018, March 02). The NanoCore RAT Has Resurfaced From the Sewers. Retrieved November 9, 2018.",https://cofense.com/nanocore-rat-resurfaced-sewers/
Cofense RevengeRAT Feb 2019,"Gannon, M. (2019, February 11). With Upgrades in Delivery and Support Infrastructure, Revenge RAT Malware is a Bigger Threat. Retrieved May 1, 2019.",https://cofense.com/upgrades-delivery-support-infrastructure-revenge-rat-malware-bigger-threat/
CoinTicker 2019,"Thomas Reed. (2018, October 29). Mac cryptocurrency ticker app installs backdoors. Retrieved April 23, 2019.",https://blog.malwarebytes.com/threat-analysis/2018/10/mac-cryptocurrency-ticker-app-installs-backdoors/
Command Five SK 2011,"Command Five Pty Ltd. (2011, September). SK Hack by an Advanced Persistent Threat. Retrieved April 6, 2018.",https://www.commandfive.com/papers/C5_APT_SKHack.pdf
Comparitech Leak,"Bischoff, P. (2020, October 15). Broadvoice database of more than 350 million customer records exposed online. Retrieved October 20, 2020.",https://www.comparitech.com/blog/vpn-privacy/350-million-customer-records-exposed-online/
Conficker Nuclear Power Plant,"Cimpanu, C. (2016, April 26). Malware Shuts Down German Nuclear Power Plant on Chernobyl's 30th Anniversary. Retrieved February 18, 2021.",https://news.softpedia.com/news/on-chernobyl-s-30th-anniversary-malware-shuts-down-german-nuclear-power-plant-503429.shtml
Configuring Data Access audit logs,"Google. (n.d.). Configuring Data Access audit logs. Retrieved October 16, 2020.",https://cloud.google.com/logging/docs/audit/configure-data-access
Confluence Linux Command  Line,"Confluence Support. (2021, September 8). How to enable command line audit logging in linux. Retrieved September 23, 2021.",https://confluence.atlassian.com/confkb/how-to-enable-command-line-audit-logging-in-linux-956166545.html
Confluence Logs,"Confluence Support. (2021, April 22). Working with Confluence Logs. Retrieved September 23, 2021.",https://confluence.atlassian.com/doc/working-with-confluence-logs-108364721.html
Container Escape,"0xn3va. (n.d.). Escaping. Retrieved May 27, 2022.",https://0xn3va.gitbook.io/cheat-sheets/container/escaping
Content trust in Azure Container Registry,"Microsoft. (2019, September 5). Content trust in Azure Container Registry. Retrieved October 16, 2019.",https://docs.microsoft.com/en-us/azure/container-registry/container-registry-content-trust
Content trust in Docker,"Docker. (2019, October 10). Content trust in Docker. Retrieved October 16, 2019.",https://docs.docker.com/engine/security/trust/content_trust/
CopyFromScreen .NET,"Microsoft. (n.d.). Graphics.CopyFromScreen Method. Retrieved March 24, 2020.",https://docs.microsoft.com/en-us/dotnet/api/system.drawing.graphics.copyfromscreen?view=netframework-4.8
CopyKittens Nov 2015,"Minerva Labs LTD and ClearSky Cyber Security. (2015, November 23). CopyKittens Attack Group. Retrieved September 11, 2017.",https://s3-eu-west-1.amazonaws.com/minervaresearchpublic/CopyKittens/CopyKittens.pdf
Core Security Impacket,"Core Security. (n.d.). Impacket. Retrieved November 2, 2017.",https://www.coresecurity.com/corelabs-research/open-source-tools/impacket
Corero SYN-ACKflood,"Corero. (n.d.). What is a SYN-ACK Flood Attack?. Retrieved April 22, 2019.",https://www.corero.com/resources/ddos-attack-types/syn-flood-ack.html
Corio 2008,"Corio, C., & Sayana, D. P. (2008, June). Application Lockdown with Software Restriction Policies. Retrieved November 18, 2014.",http://technet.microsoft.com/en-us/magazine/2008.06.srp.aspx
Costin Raiu IAmTheKing October 2020,"Costin Raiu. (2020, October 2). Costin Raiu Twitter IAmTheKing SlothfulMedia. Retrieved November 16, 2020.",https://twitter.com/craiu/status/1311920398259367942
CounterCept PPID Spoofing Dec 2018,"Loh, I. (2018, December 21). Detecting Parent PID Spoofing. Retrieved June 3, 2019.",https://www.countercept.com/blog/detecting-parent-pid-spoofing/
CrowdStrike 2015 Global Threat Report,"CrowdStrike Intelligence. (2016). 2015 Global Threat Report. Retrieved April 11, 2018.",https://go.crowdstrike.com/rs/281-OBQ-266/images/15GlobalThreatReport.pdf
CrowdStrike AQUATIC PANDA December 2021,"Wiley, B. et al. (2021, December 29). OverWatch Exposes AQUATIC PANDA in Possession of Log4Shell Exploit Tools During Hands-on Intrusion Attempt. Retrieved January 18, 2022.",https://www.crowdstrike.com/blog/overwatch-exposes-aquatic-panda-in-possession-of-log-4-shell-exploit-tools/
CrowdStrike BGH Ransomware 2021,"Falcon Complete Team. (2021, May 11). Response When Minutes Matter: Rising Up Against Ransomware. Retrieved October 8, 2021.",https://www.crowdstrike.com/blog/how-falcon-complete-stopped-a-big-game-hunting-ransomware-attack/
CrowdStrike BloodHound April 2018,"Red Team Labs. (2018, April 24). Hidden Administrative Accounts: BloodHound to the Rescue. Retrieved October 28, 2020.",https://www.crowdstrike.com/blog/hidden-administrative-accounts-bloodhound-to-the-rescue/
CrowdStrike Carbon Spider August 2021,"Loui, E. and Reynolds, J. (2021, August 30). CARBON SPIDER Embraces Big Game Hunting, Part 1. Retrieved September 20, 2021.",https://www.crowdstrike.com/blog/carbon-spider-embraces-big-game-hunting-part-1/
CrowdStrike Deep Panda Web Shells,"RYANJ. (2014, February 20). Mo’ Shells Mo’ Problems – Deep Panda Web Shells. Retrieved September 16, 2015.",http://www.crowdstrike.com/blog/mo-shells-mo-problems-deep-panda-web-shells/
CrowdStrike Ember Bear Profile March 2022,"CrowdStrike. (2022, March 30). Who is EMBER BEAR?. Retrieved June 9, 2022.",https://www.crowdstrike.com/blog/who-is-ember-bear/
CrowdStrike Flying Kitten ,"Dahl, M.. (2014, May 13). Cat Scratch Fever: CrowdStrike Tracks Newly Reported Iranian Actor as FLYING KITTEN. Retrieved May 27, 2020.",https://www.crowdstrike.com/blog/cat-scratch-fever-crowdstrike-tracks-newly-reported-iranian-actor-flying-kitten/
CrowdStrike GTR 2019,"CrowdStrike. (2019, January). 2019 Global Threat Report. Retrieved June 10, 2020.",https://go.crowdstrike.com/rs/281-OBQ-266/images/Report2019GlobalThreatReport.pdf
CrowdStrike GTR 2021 June 2021,"CrowdStrike. (2021, June 7). CrowdStrike 2021 Global Threat Report. Retrieved September 29, 2021.",https://go.crowdstrike.com/rs/281-OBQ-266/images/Report2021GTR.pdf
