ID,name,description,url,created,last modified,version,contributors,associated groups,associated groups citations,relationship citations
G0012,Darkhotel,[Darkhotel](https://attack.mitre.org/groups/G0012) is a suspected South Korean threat group that has targeted victims primarily in East Asia since at least 2004. The group's name is based on cyber espionage operations conducted via hotel Internet networks against traveling executives and other select guests. [Darkhotel](https://attack.mitre.org/groups/G0012) has also conducted spearphishing campaigns and infected victims through peer-to-peer and file sharing networks.(Citation: Kaspersky Darkhotel)(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft Digital Defense FY20 Sept 2020),https://attack.mitre.org/groups/G0012,31 May 2017,19 October 2022,2.1,"Harry, CODEMIZE",DUBNIUM,(Citation: Microsoft Digital Defense FY20 Sept 2020)(Citation: Microsoft DUBNIUM June 2016)(Citation: Microsoft DUBNIUM Flash June 2016)(Citation: Microsoft DUBNIUM July 2016),",(Citation: Lastline DarkHotel Just In Time Decryption Nov 2015),(Citation: Microsoft DUBNIUM June 2016),(Citation: Kaspersky Darkhotel),(Citation: Microsoft DUBNIUM July 2016),(Citation: Securelist Darkhotel Aug 2015),"
G0009,Deep Panda,"[Deep Panda](https://attack.mitre.org/groups/G0009) is a suspected Chinese threat group known to target many industries, including government, defense, financial, and telecommunications. (Citation: Alperovitch 2014) The intrusion into healthcare company Anthem has been attributed to [Deep Panda](https://attack.mitre.org/groups/G0009). (Citation: ThreatConnect Anthem) This group is also known as Shell Crew, WebMasters, KungFu Kittens, and PinkPanther. (Citation: RSA Shell Crew) [Deep Panda](https://attack.mitre.org/groups/G0009) also appears to be known as Black Vine based on the attribution of both group names to the Anthem intrusion. (Citation: Symantec Black Vine) Some analysts track [Deep Panda](https://attack.mitre.org/groups/G0009) and [APT19](https://attack.mitre.org/groups/G0073) as the same group, but it is unclear from open source information if the groups are the same. (Citation: ICIT China's Espionage Jul 2016)",https://attack.mitre.org/groups/G0009,31 May 2017,20 July 2022,1.2,"Andrew Smith, @jakx_","Black Vine, KungFu Kittens, PinkPanther, Shell Crew, WebMasters","(Citation: Symantec Black Vine), (Citation: RSA Shell Crew), (Citation: RSA Shell Crew), (Citation: RSA Shell Crew), (Citation: RSA Shell Crew)","(Citation: ThreatConnect Anthem),(Citation: Cylance Shell Crew Feb 2017),(Citation: Symantec Black Vine),(Citation: Alperovitch 2014),(Citation: CrowdStrike Deep Panda Web Shells),(Citation: Symantec Black Vine),(Citation: RSA Shell Crew),(Citation: Alperovitch 2014),"
G0017,DragonOK,"[DragonOK](https://attack.mitre.org/groups/G0017) is a threat group that has targeted Japanese organizations with phishing emails. Due to overlapping TTPs, including similar custom tools, [DragonOK](https://attack.mitre.org/groups/G0017) is thought to have a direct or indirect relationship with the threat group [Moafee](https://attack.mitre.org/groups/G0002). (Citation: Operation Quantum Entanglement) It is known to use a variety of malware, including Sysget/HelloBridge, PlugX, PoisonIvy, FormerFirstRat, NFlog, and NewCT. (Citation: New DragonOK)",https://attack.mitre.org/groups/G0017,31 May 2017,22 March 2019,1.0,,,,"(Citation: New DragonOK),(Citation: Operation Quantum Entanglement),,"
G0035,Dragonfly,"[Dragonfly](https://attack.mitre.org/groups/G0035) is a cyber espionage group that has been attributed to Russia's Federal Security Service (FSB) Center 16.(Citation: DOJ Russia Targeting Critical Infrastructure March 2022)(Citation: UK GOV FSB Factsheet April 2022) Active since at least 2010, [Dragonfly](https://attack.mitre.org/groups/G0035) has targeted defense and aviation companies, government entities, companies related to industrial control systems, and critical infrastructure sectors worldwide through supply chain, spearphishing, and drive-by compromise attacks.(Citation: Symantec Dragonfly)(Citation: Secureworks IRON LIBERTY July 2019)(Citation: Symantec Dragonfly Sept 2017)(Citation: Fortune Dragonfly 2.0 Sept 2017)(Citation: Gigamon Berserk Bear October 2021)(Citation: CISA AA20-296A Berserk Bear December 2020)(Citation: Symantec Dragonfly 2.0 October 2017)",https://attack.mitre.org/groups/G0035,31 May 2017,19 October 2022,3.1,Dragos Threat Intelligence,"Berserk Bear, Crouching Yeti, DYMALLOY, Energetic Bear, IRON LIBERTY, TEMP.Isotope, TG-4192","(Citation: Gigamon Berserk Bear October 2021)(Citation: DOJ Russia Targeting Critical Infrastructure March 2022)(Citation: UK GOV FSB Factsheet April 2022), (Citation: Secureworks IRON LIBERTY July 2019)(Citation: Gigamon Berserk Bear October 2021)(Citation: DOJ Russia Targeting Critical Infrastructure March 2022)(Citation: UK GOV FSB Factsheet April 2022), (Citation: Dragos DYMALLOY )(Citation: UK GOV FSB Factsheet April 2022), (Citation: Symantec Dragonfly)(Citation: Secureworks IRON LIBERTY July 2019)(Citation: Secureworks MCMD July 2019)(Citation: Secureworks Karagany July 2019)(Citation: Gigamon Berserk Bear October 2021)(Citation: DOJ Russia Targeting Critical Infrastructure March 2022)(Citation: UK GOV FSB Factsheet April 2022), (Citation: Secureworks IRON LIBERTY July 2019)(Citation: Secureworks MCMD July 2019)(Citation: Secureworks Karagany July 2019)(Citation: UK GOV FSB Factsheet April 2022), (Citation: Mandiant Ukraine Cyber Threats January 2022)(Citation: Gigamon Berserk Bear October 2021), (Citation: Secureworks IRON LIBERTY July 2019)(Citation: UK GOV FSB Factsheet April 2022)","(Citation: Secureworks MCMD July 2019),(Citation: Symantec Dragonfly Sept 2017),(Citation: US-CERT TA18-074A),(Citation: Secureworks IRON LIBERTY July 2019),(Citation: Core Security Impacket),(Citation: Secureworks Karagany July 2019),(Citation: Symantec Dragonfly),(Citation: Gigamon Berserk Bear October 2021),(Citation: Symantec Dragonfly Sept 2017),(Citation: US-CERT TA18-074A),(Citation: CISA AA20-296A Berserk Bear December 2020),(Citation: Secureworks IRON LIBERTY July 2019),(Citation: Core Security Impacket),(Citation: Gigamon Berserk Bear October 2021),(Citation: Kali Hydra),"
G1011,EXOTIC LILY,"[EXOTIC LILY](https://attack.mitre.org/groups/G1011) is a financially motivated group that has been closely linked with [Wizard Spider](https://attack.mitre.org/groups/G0102) and the deployment of ransomware including [Conti](https://attack.mitre.org/software/S0575) and [Diavol](https://attack.mitre.org/software/S0659). [EXOTIC LILY](https://attack.mitre.org/groups/G1011) may be acting as an initial access broker for other malicious actors, and has targeted a wide range of industries including IT, cybersecurity, and healthcare since at least September 2021.(Citation: Google EXOTIC LILY March 2022)",https://attack.mitre.org/groups/G1011,18 August 2022,13 October 2022,1.0,"Phil Taylor, BT Security",,,"(Citation: Google EXOTIC LILY March 2022),(Citation: Proofpoint Bumblebee April 2022),(Citation: Google EXOTIC LILY March 2022),"
G1006,Earth Lusca,"[Earth Lusca](https://attack.mitre.org/groups/G1006) is a suspected China-based cyber espionage group that has been active since at least April 2019. [Earth Lusca](https://attack.mitre.org/groups/G1006) has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States. Targets included government institutions, news media outlets, gambling companies, educational institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some [Earth Lusca](https://attack.mitre.org/groups/G1006) operations may be financially motivated.(Citation: TrendMicro EarthLusca 2022)

[Earth Lusca](https://attack.mitre.org/groups/G1006) has used malware commonly used by other Chinese threat groups, including [APT41](https://attack.mitre.org/groups/G0096) and the [Winnti Group](https://attack.mitre.org/groups/G0044) cluster, however security researchers assess [Earth Lusca](https://attack.mitre.org/groups/G1006)'s techniques and infrastructure are separate.(Citation: TrendMicro EarthLusca 2022)",https://attack.mitre.org/groups/G1006,01 July 2022,17 October 2022,1.0,,TAG-22,(Citation: Recorded Future TAG-22 July 2021),"(Citation: TrendMicro EarthLusca 2022),(Citation: TrendMicro EarthLusca 2022),"
G0066,Elderwood,"[Elderwood](https://attack.mitre.org/groups/G0066) is a suspected Chinese cyber espionage group that was reportedly responsible for the 2009 Google intrusion known as Operation Aurora. (Citation: Security Affairs Elderwood Sept 2012) The group has targeted defense organizations, supply chain manufacturers, human rights and nongovernmental organizations (NGOs), and IT service providers. (Citation: Symantec Elderwood Sept 2012) (Citation: CSM Elderwood Sept 2012)",https://attack.mitre.org/groups/G0066,18 April 2018,02 March 2021,1.2,"Valerii Marchuk, Cybersecurity Help s.r.o.","Beijing Group, Elderwood Gang, Sneaky Panda","(Citation: CSM Elderwood Sept 2012), (Citation: Symantec Elderwood Sept 2012) (Citation: CSM Elderwood Sept 2012), (Citation: CSM Elderwood Sept 2012)","(Citation: Symantec Elderwood Sept 2012),(Citation: Symantec Ristol May 2012),(Citation: CSM Elderwood Sept 2012),(Citation: Symantec Elderwood Sept 2012),(Citation: Security Affairs Elderwood Sept 2012),"
G1003,Ember Bear,"[Ember Bear](https://attack.mitre.org/groups/G1003) is a suspected Russian state-sponsored cyber espionage group that has been active since at least March 2021. [Ember Bear](https://attack.mitre.org/groups/G1003) has primarily focused their operations against Ukraine and Georgia, but has also targeted Western European and North American foreign ministries, pharmaceutical companies, and financial sector organizations. Security researchers assess [Ember Bear](https://attack.mitre.org/groups/G1003) likely conducted the [WhisperGate](https://attack.mitre.org/software/S0689) destructive wiper attacks against Ukraine in early 2022.(Citation: CrowdStrike Ember Bear Profile March 2022)(Citation: Mandiant UNC2589 March 2022)(Citation: Palo Alto Unit 42 OutSteel SaintBot February 2022 ) ",https://attack.mitre.org/groups/G1003,09 June 2022,14 October 2022,1.0,"Hannah Simes, BT Security","Bleeding Bear, Lorec Bear, Lorec53, Saint Bear, UAC-0056, UNC2589","(Citation: CrowdStrike Ember Bear Profile March 2022), (Citation: CrowdStrike Ember Bear Profile March 2022), (Citation: CrowdStrike Ember Bear Profile March 2022), (Citation: CrowdStrike Ember Bear Profile March 2022), (Citation: CrowdStrike Ember Bear Profile March 2022), (Citation: Mandiant UNC2589 March 2022)","(Citation: CrowdStrike Ember Bear Profile March 2022),(Citation: Mandiant UNC2589 March 2022),(Citation: Palo Alto Unit 42 OutSteel SaintBot February 2022 ),(Citation: Palo Alto Unit 42 OutSteel SaintBot February 2022 ),"
G0020,Equation,[Equation](https://attack.mitre.org/groups/G0020) is a sophisticated threat group that employs multiple remote access tools. The group is known to use zero-day exploits and has developed the capability to overwrite the firmware of hard disk drives. (Citation: Kaspersky Equation QA),https://attack.mitre.org/groups/G0020,31 May 2017,29 June 2020,1.2,,,,",(Citation: Kaspersky Gauss Whitepaper),(Citation: Kaspersky Equation QA),"
G0120,Evilnum,[Evilnum](https://attack.mitre.org/groups/G0120) is a financially motivated threat group that has been active since at least 2018.(Citation: ESET EvilNum July 2020),https://attack.mitre.org/groups/G0120,22 January 2021,27 April 2021,1.0,,,,"(Citation: ESET EvilNum July 2020),(Citation: Prevailion EvilNum May 2020),(Citation: ESET EvilNum July 2020),"
G0051,FIN10,[FIN10](https://attack.mitre.org/groups/G0051) is a financially motivated threat group that has targeted organizations in North America since at least 2013 through 2016. The group uses stolen data exfiltrated from victims to extort organizations. (Citation: FireEye FIN10 June 2017),https://attack.mitre.org/groups/G0051,14 December 2017,26 May 2021,1.3,,,,"(Citation: FireEye FIN10 June 2017),(Citation: Github PowerShell Empire),(Citation: FireEye FIN10 June 2017),"
G0085,FIN4,"[FIN4](https://attack.mitre.org/groups/G0085) is a financially-motivated threat group that has targeted confidential information related to the public financial market, particularly regarding healthcare and pharmaceutical companies, since at least 2013.(Citation: FireEye Hacking FIN4 Dec 2014)(Citation: FireEye FIN4 Stealing Insider NOV 2014) [FIN4](https://attack.mitre.org/groups/G0085) is unique in that they do not infect victims with typical persistent malware, but rather they focus on capturing credentials authorized to access email and other non-public correspondence.(Citation: FireEye Hacking FIN4 Dec 2014)(Citation: FireEye Hacking FIN4 Video Dec 2014)",https://attack.mitre.org/groups/G0085,31 January 2019,11 August 2021,1.2,,,,",(Citation: FireEye Hacking FIN4 Dec 2014),(Citation: FireEye Hacking FIN4 Video Dec 2014),"
G0053,FIN5,"[FIN5](https://attack.mitre.org/groups/G0053) is a financially motivated threat group that has targeted personally identifiable information and payment card information. The group has been active since at least 2008 and has targeted the restaurant, gaming, and hotel industries. The group is made up of actors who likely speak Russian. (Citation: FireEye Respond Webinar July 2017) (Citation: Mandiant FIN5 GrrCON Oct 2016) (Citation: DarkReading FireEye FIN5 Oct 2015)",https://attack.mitre.org/groups/G0053,16 January 2018,16 October 2021,1.2,Walker Johnson,,,"(Citation: DarkReading FireEye FIN5 Oct 2015),(Citation: Mandiant FIN5 GrrCON Oct 2016),(Citation: DarkReading FireEye FIN5 Oct 2015),(Citation: FireEye Respond Webinar July 2017),(Citation: Mandiant FIN5 GrrCON Oct 2016),"
G0037,FIN6,[FIN6](https://attack.mitre.org/groups/G0037) is a cyber crime group that has stolen payment card data and sold it for profit on underground marketplaces. This group has aggressively targeted and compromised point of sale (PoS) systems in the hospitality and retail sectors.(Citation: FireEye FIN6 April 2016)(Citation: FireEye FIN6 Apr 2019),https://attack.mitre.org/groups/G0037,31 May 2017,02 June 2022,3.2,"Center for Threat-Informed Defense (CTID); Drew Church, Splunk","ITG08, Magecart Group 6, Skeleton Spider","(Citation: Security Intelligence More Eggs Aug 2019), (Citation: Security Intelligence ITG08 April 2020), (Citation: Crowdstrike Global Threat Report Feb 2018)","(Citation: FireEye Maze May 2020),(Citation: SentinelOne FrameworkPOS September 2019),(Citation: FireEye FIN6 April 2016),(Citation: Crowdstrike Global Threat Report Feb 2018),(Citation: FireEye FIN6 Apr 2019),(Citation: Security Intelligence More Eggs Aug 2019),(Citation: Group IB GrimAgent July 2021),(Citation: Visa FIN6 Feb 2019),(Citation: FireEye FIN6 April 2016),(Citation: FireEye FIN6 Apr 2019),(Citation: Trend Micro FIN6 October 2019),(Citation: RiskIQ British Airways September 2018),(Citation: Security Intelligence More Eggs Aug 2019),(Citation: Visa FIN6 Feb 2019),(Citation: RiskIQ Newegg September 2018),"
G0046,FIN7,"[FIN7](https://attack.mitre.org/groups/G0046) is a financially-motivated threat group that has been active since 2013 primarily targeting the U.S. retail, restaurant, and hospitality sectors, often using point-of-sale malware. A portion of [FIN7](https://attack.mitre.org/groups/G0046) was run out of a front company called Combi Security. Since 2020 [FIN7](https://attack.mitre.org/groups/G0046) shifted operations to a big game hunting (BGH) approach including use of [REvil](https://attack.mitre.org/software/S0496) ransomware and their own Ransomware as a Service (RaaS), Darkside. [FIN7](https://attack.mitre.org/groups/G0046) may be linked to the [Carbanak](https://attack.mitre.org/groups/G0008) Group, but there appears to be several groups using [Carbanak](https://attack.mitre.org/software/S0030) malware and are therefore tracked separately.(Citation: FireEye FIN7 March 2017)(Citation: FireEye FIN7 April 2017)(Citation: FireEye CARBANAK June 2017)(Citation: FireEye FIN7 Aug 2018)(Citation: CrowdStrike Carbon Spider August 2021)",https://attack.mitre.org/groups/G0046,31 May 2017,20 July 2022,2.1,Edward Millington,"Carbon Spider, GOLD NIAGARA, ITG14","(Citation: CrowdStrike Carbon Spider August 2021), (Citation: Secureworks GOLD NIAGARA Threat Profile), ITG14 shares campaign overlap with [FIN7](https://attack.mitre.org/groups/G0046).(Citation: IBM Ransomware Trends September 2020)","(Citation: FireEye FIN7 Oct 2019),(Citation: Threatpost Lizar May 2021),(Citation: Gemini FIN7 Oct 2021),(Citation: Trustwave Pillowmint June 2020),(Citation: FireEye FIN7 Aug 2018),(Citation: FireEye FIN7 April 2017),(Citation: IBM Ransomware Trends September 2020),(Citation: FireEye FIN7 March 2017),(Citation: CrowdStrike Carbon Spider August 2021),(Citation: FBI Flash FIN7 USB),(Citation: Flashpoint FIN 7 March 2019),(Citation: DOJ FIN7 Aug 2018),(Citation: SecureList Griffon May 2019),(Citation: FireEye FIN7 Oct 2019),(Citation: eSentire FIN7 July 2021),(Citation: CyberScoop FIN7 Oct 2017),(Citation: FireEye Obfuscation June 2017),(Citation: FireEye FIN7 Aug 2018),(Citation: FireEye FIN7 April 2017),(Citation: FireEye FIN7 Shim Databases),(Citation: FireEye CARBANAK June 2017),(Citation: Crowdstrike GTR2020 Mar 2020),(Citation: Morphisec FIN7 June 2017),(Citation: CrowdStrike Carbon Spider August 2021),(Citation: FBI Flash FIN7 USB),(Citation: Flashpoint FIN 7 March 2019),(Citation: DOJ FIN7 Aug 2018),"
G0061,FIN8,"[FIN8](https://attack.mitre.org/groups/G0061) is a financially motivated threat group known to launch tailored spearphishing campaigns targeting the retail, restaurant, and hospitality industries. (Citation: FireEye Obfuscation June 2017) (Citation: FireEye Fin8 May 2016)",https://attack.mitre.org/groups/G0061,18 April 2018,12 October 2021,1.2,"Daniyal Naeem, BT Security",,,"(Citation: FireEye Know Your Enemy FIN8 Aug 2016),(Citation: Bitdefender FIN8 July 2021),(Citation: FireEye Fin8 May 2016),(Citation: FireEye Obfuscation June 2017),(Citation: FireEye Know Your Enemy FIN8 Aug 2016),(Citation: Bitdefender FIN8 July 2021),(Citation: FireEye Fin8 May 2016),"
G0137,Ferocious Kitten,[Ferocious Kitten](https://attack.mitre.org/groups/G0137) is a threat group that has primarily targeted Persian-speaking individuals in Iran since at least 2015.(Citation: Kaspersky Ferocious Kitten Jun 2021),https://attack.mitre.org/groups/G0137,28 September 2021,25 October 2021,1.0,"Hiroki Nagahama, NEC Corporation; Manikantan Srinivasan, NEC Corporation India; Pooja Natarajan, NEC Corporation India",,,"(Citation: Kaspersky Ferocious Kitten Jun 2021),(Citation: Kaspersky Ferocious Kitten Jun 2021),"
G0117,Fox Kitten,"[Fox Kitten](https://attack.mitre.org/groups/G0117) is threat actor with a suspected nexus to the Iranian government that has been active since at least 2017 against entities in the Middle East, North Africa, Europe, Australia, and North America. [Fox Kitten](https://attack.mitre.org/groups/G0117) has targeted multiple industrial verticals including oil and gas, technology, government, defense, healthcare, manufacturing, and engineering.(Citation: ClearkSky Fox Kitten February 2020)(Citation: CrowdStrike PIONEER KITTEN August 2020)(Citation: Dragos PARISITE )(Citation: ClearSky Pay2Kitten December 2020)",https://attack.mitre.org/groups/G0117,21 December 2020,02 June 2022,1.0,,"Parisite, Pioneer Kitten, UNC757","(Citation: Dragos PARISITE )(Citation: ClearkSky Fox Kitten February 2020)(Citation: CrowdStrike PIONEER KITTEN August 2020), (Citation: CrowdStrike PIONEER KITTEN August 2020)(Citation: CISA AA20-259A Iran-Based Actor September 2020), (Citation: CISA AA20-259A Iran-Based Actor September 2020)(Citation: CrowdStrike PIONEER KITTEN August 2020)","(Citation: ClearkSky Fox Kitten February 2020),(Citation: Check Point Pay2Key November 2020),(Citation: CrowdStrike PIONEER KITTEN August 2020),(Citation: CISA AA20-259A Iran-Based Actor September 2020),(Citation: Dragos PARISITE ),(Citation: ClearkSky Fox Kitten February 2020),(Citation: Check Point Pay2Key November 2020),(Citation: ClearSky Pay2Kitten December 2020),(Citation: CrowdStrike PIONEER KITTEN August 2020),(Citation: CISA AA20-259A Iran-Based Actor September 2020),"
G0093,GALLIUM,"[GALLIUM](https://attack.mitre.org/groups/G0093) is a cyberespionage group that has been active since at least 2012, primarily targeting telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam. Security researchers have identified [GALLIUM](https://attack.mitre.org/groups/G0093) as a likely Chinese state-sponsored group, based in part on tools used and TTPs commonly associated with Chinese threat actors.(Citation: Cybereason Soft Cell June 2019)(Citation: Microsoft GALLIUM December 2019)(Citation: Unit 42 PingPull Jun 2022)",https://attack.mitre.org/groups/G0093,18 July 2019,12 August 2022,3.0,"Cybereason Nocturnus, @nocturnus; Daniyal Naeem, BT Security",Operation Soft Cell,(Citation: Cybereason Soft Cell June 2019),"(Citation: Unit 42 PingPull Jun 2022),(Citation: Microsoft GALLIUM December 2019),(Citation: Cybereason Soft Cell June 2019),(Citation: Microsoft GALLIUM December 2019),(Citation: Cybereason Soft Cell June 2019),"
G0036,GCMAN,[GCMAN](https://attack.mitre.org/groups/G0036) is a threat group that focuses on targeting banks for the purpose of transferring money to e-currency services. (Citation: Securelist GCMAN),https://attack.mitre.org/groups/G0036,31 May 2017,30 March 2020,1.1,,,,",(Citation: Securelist GCMAN),"
G0115,GOLD SOUTHFIELD,[GOLD SOUTHFIELD](https://attack.mitre.org/groups/G0115) is a financially motivated threat group active since at least 2019 that operates the [REvil](https://attack.mitre.org/software/S0496) Ransomware-as-a Service (RaaS). [GOLD SOUTHFIELD](https://attack.mitre.org/groups/G0115) provides backend infrastructure for affiliates recruited on underground forums to perpetrate high value deployments.(Citation: Secureworks REvil September 2019)(Citation: Secureworks GandCrab and REvil September 2019)(Citation: Secureworks GOLD SOUTHFIELD),https://attack.mitre.org/groups/G0115,22 September 2020,26 April 2021,1.1,"Thijn Bukkems, Amazon",,,"(Citation: Anomali Static Kitten February 2021),(Citation: Tetra Defense Sodinokibi March 2020),(Citation: Secureworks GandCrab and REvil September 2019),(Citation: Secureworks REvil September 2019),(Citation: Tetra Defense Sodinokibi March 2020),(Citation: Secureworks GOLD SOUTHFIELD),(Citation: Secureworks GandCrab and REvil September 2019),(Citation: Secureworks REvil September 2019),"
G0084,Gallmaker,"[Gallmaker](https://attack.mitre.org/groups/G0084) is a cyberespionage group that has targeted victims in the Middle East and has been active since at least December 2017. The group has mainly targeted victims in the defense, military, and government sectors.(Citation: Symantec Gallmaker Oct 2018)",https://attack.mitre.org/groups/G0084,30 January 2019,30 March 2020,1.1,,,,",(Citation: Symantec Gallmaker Oct 2018),"
G0047,Gamaredon Group,"[Gamaredon Group](https://attack.mitre.org/groups/G0047) is a suspected Russian cyber espionage threat group that has targeted military, NGO, judiciary, law enforcement, and non-profit organizations in Ukraine since at least 2013. The name [Gamaredon Group](https://attack.mitre.org/groups/G0047) comes from a misspelling of the word ""Armageddon"", which was detected in the adversary's early campaigns.(Citation: Palo Alto Gamaredon Feb 2017)(Citation: TrendMicro Gamaredon April 2020)(Citation: ESET Gamaredon June 2020)(Citation: Symantec Shuckworm January 2022)(Citation: Microsoft Actinium February 2022)

In November 2021, the Ukrainian government publicly attributed [Gamaredon Group](https://attack.mitre.org/groups/G0047) to Russia's Federal Security Service (FSB) Center 18.(Citation: Bleepingcomputer Gamardeon FSB November 2021)(Citation: Microsoft Actinium February 2022)",https://attack.mitre.org/groups/G0047,31 May 2017,15 April 2022,2.0,ESET; Trend Micro Incorporated,"ACTINIUM, Armageddon, DEV-0157, IRON TILDEN, Primitive Bear, Shuckworm","(Citation: Microsoft Actinium February 2022), (Citation: Symantec Shuckworm January 2022), (Citation: Microsoft Actinium February 2022), (Citation: Secureworks IRON TILDEN Profile), (Citation: Unit 42 Gamaredon February 2022), (Citation: Symantec Shuckworm January 2022)","(Citation: Unit 42 Gamaredon February 2022),(Citation: Secureworks IRON TILDEN Profile),(Citation: Palo Alto Gamaredon Feb 2017),(Citation: Symantec Shuckworm January 2022),(Citation: Microsoft Actinium February 2022),(Citation: Unit 42 Gamaredon February 2022),(Citation: Secureworks IRON TILDEN Profile),(Citation: CERT-EE Gamaredon January 2021),(Citation: Proofpoint RTF Injection),(Citation: ESET Gamaredon June 2020),(Citation: TrendMicro Gamaredon April 2020),(Citation: Palo Alto Gamaredon Feb 2017),(Citation: Symantec Shuckworm January 2022),(Citation: Microsoft Actinium February 2022),"
G0078,Gorgon Group,"[Gorgon Group](https://attack.mitre.org/groups/G0078) is a threat group consisting of members who are suspected to be Pakistan-based or have other connections to Pakistan. The group has performed a mix of criminal and targeted attacks, including campaigns against government organizations in the United Kingdom, Spain, Russia, and the United States. (Citation: Unit 42 Gorgon Group Aug 2018)",https://attack.mitre.org/groups/G0078,17 October 2018,12 October 2021,1.5,,,,"(Citation: Unit 42 Gorgon Group Aug 2018),(Citation: Unit 42 Gorgon Group Aug 2018),"
G0043,Group5,"[Group5](https://attack.mitre.org/groups/G0043) is a threat group with a suspected Iranian nexus, though this attribution is not definite. The group has targeted individuals connected to the Syrian opposition via spearphishing and watering holes, normally using Syrian and Iranian themes. [Group5](https://attack.mitre.org/groups/G0043) has used two commonly available remote access tools (RATs), [njRAT](https://attack.mitre.org/software/S0385) and [NanoCore](https://attack.mitre.org/software/S0336), as well as an Android RAT, DroidJack. (Citation: Citizen Lab Group5)",https://attack.mitre.org/groups/G0043,31 May 2017,30 March 2020,1.2,,,,"(Citation: Citizen Lab Group5),(Citation: Citizen Lab Group5),"
G0125,HAFNIUM,"[HAFNIUM](https://attack.mitre.org/groups/G0125) is a likely state-sponsored cyber espionage group operating out of China that has been active since at least January 2021. [HAFNIUM](https://attack.mitre.org/groups/G0125) primarily targets entities in the US across a number of industry sectors, including infectious disease researchers, law firms, higher education institutions, defense contractors, policy think tanks, and NGOs.(Citation: Microsoft HAFNIUM March 2020)(Citation: Volexity Exchange Marauder March 2021)",https://attack.mitre.org/groups/G0125,03 March 2021,06 July 2022,1.2,"Daniyal Naeem, BT Security; Harshal Tupsamudre, Qualys; Matt Brenton, Zurich Insurance Group; Mayuresh Dani, Qualys",Operation Exchange Marauder,(Citation: Volexity Exchange Marauder March 2021),"(Citation: Tarrask scheduled task),(Citation: FireEye Exchange Zero Days March 2021),(Citation: Volexity Exchange Marauder March 2021),(Citation: Microsoft HAFNIUM March 2020),(Citation: Tarrask scheduled task),(Citation: FireEye Exchange Zero Days March 2021),(Citation: Volexity Exchange Marauder March 2021),"
G1001,HEXANE,"[HEXANE](https://attack.mitre.org/groups/G1001) is a cyber espionage threat group that has targeted oil & gas, telecommunications, aviation, and internet service provider organizations since at least 2017. Targeted companies have been located in the Middle East and Africa, including Israel, Saudi Arabia, Kuwait, Morocco, and Tunisia. [HEXANE](https://attack.mitre.org/groups/G1001)'s TTPs appear similar to [APT33](https://attack.mitre.org/groups/G0064) and [OilRig](https://attack.mitre.org/groups/G0049) but due to differences in victims and tools it is tracked as a separate entity.(Citation: Dragos Hexane)(Citation: Kaspersky Lyceum October 2021)(Citation: ClearSky Siamesekitten August 2021)(Citation: Accenture Lyceum Targets November 2021)",https://attack.mitre.org/groups/G1001,17 October 2018,31 August 2022,2.0,"Dragos Threat Intelligence; Mindaugas Gudzis, BT Security","Lyceum, Siamesekitten, Spirlin","(Citation: SecureWorks August 2019), (Citation: ClearSky Siamesekitten August 2021), (Citation: Accenture Lyceum Targets November 2021)","(Citation: ClearSky Siamesekitten August 2021),(Citation: SecureWorks August 2019),(Citation: Accenture Lyceum Targets November 2021),(Citation: Kaspersky Lyceum October 2021),(Citation: Zscaler Lyceum DnsSystem June 2022),(Citation: ClearSky Siamesekitten August 2021),(Citation: SecureWorks August 2019),(Citation: Kaspersky APT Trends Q1 April 2021),(Citation: Microsoft POLONIUM June 2022),(Citation: Dragos Hexane),(Citation: Kaspersky Lyceum October 2021),(Citation: Zscaler Lyceum DnsSystem June 2022),"
G0126,Higaisa,"[Higaisa](https://attack.mitre.org/groups/G0126) is a threat group suspected to have South Korean origins. [Higaisa](https://attack.mitre.org/groups/G0126) has targeted government, public, and trade organizations in North Korea; however, they have also carried out attacks in China, Japan, Russia, Poland, and other nations. [Higaisa](https://attack.mitre.org/groups/G0126) was first disclosed in early 2019 but is assessed to have operated as early as 2009.(Citation: Malwarebytes Higaisa 2020)(Citation: Zscaler Higaisa 2020)(Citation: PTSecurity Higaisa 2020)",https://attack.mitre.org/groups/G0126,05 March 2021,22 April 2021,1.0,"Daniyal Naeem, BT Security",,,"(Citation: Malwarebytes Higaisa 2020),(Citation: PTSecurity Higaisa 2020),(Citation: Malwarebytes Higaisa 2020),(Citation: PTSecurity Higaisa 2020),(Citation: Zscaler Higaisa 2020),"
